"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant127","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant64",4,33,6,9,18,0,8,2,31,18,4,0,0,17,8,33,2,13,22,0,26,17,3,14,2,2,3,2,6,0,0,3,9,5,13,2,8,0,3,5,0,11,14,5,3,4,3,24,7,1,0,4,2,0,0,0,3,11,1,0,2,3,21,4,6,4,33,22,24,0,19,11,0,0,7,0,0,3,3,1,2,23,3,1,5,15,5,18,9,0,9,3,10,6,2,8
"Ant73",0,0,0,0,51,0,0,0,29,6,0,0,0,23,3,7,0,0,0,0,1,1,5,0,0,0,11,7,0,6,0,7,9,0,0,0,0,12,16,0,15,1,0,0,0,0,25,10,0,0,0,0,0,19,0,0,0,0,0,35,0,0,0,14,0,0,2,0,1,34,1,0,26,0,26,57,0,0,0,0,0,0,0,0,4,0,0,15,0,23,3,0,0,0,0,0
"Ant76",8,35,0,3,27,1,8,2,20,21,16,17,23,0,25,11,0,7,35,5,6,0,11,0,0,4,6,2,2,2,1,17,8,0,8,1,13,14,23,3,14,7,2,0,1,0,10,12,8,0,2,0,0,6,3,2,0,1,1,19,11,0,22,17,0,5,15,11,21,28,10,14,26,0,14,39,1,8,0,4,7,1,5,13,11,25,1,18,5,19,12,2,7,14,1,0
"Ant148",4,63,0,0,35,3,4,3,23,26,11,8,3,25,0,4,0,3,23,0,25,11,9,1,1,7,5,16,0,0,10,13,6,0,1,0,10,5,4,4,6,5,4,5,0,2,10,39,10,0,2,0,0,3,0,2,3,3,0,20,3,0,3,16,0,5,25,18,12,15,5,9,10,2,24,7,0,4,0,0,0,2,2,0,9,9,1,15,0,3,21,1,7,25,1,1
"Ant158",13,48,0,2,33,1,11,9,14,15,13,33,7,11,4,0,1,3,33,0,13,11,4,0,0,4,11,7,8,3,2,5,10,0,3,0,10,10,5,7,10,3,5,9,4,0,29,20,15,0,0,1,1,8,0,5,8,4,0,3,2,0,25,0,0,5,21,28,24,17,3,14,17,1,17,7,1,5,0,6,5,4,8,3,7,8,0,15,9,13,8,1,4,23,1,3
"Ant191",3,5,5,0,0,1,3,3,0,0,0,2,0,0,0,1,0,0,0,9,0,2,2,1,1,1,0,0,2,0,5,0,0,5,1,1,3,0,0,1,0,1,3,1,2,2,1,0,4,3,3,18,9,0,9,2,3,6,0,0,4,18,1,0,0,2,4,1,0,0,4,0,0,6,0,0,5,5,0,0,1,1,0,4,0,1,3,0,2,0,0,3,11,0,8,2
"Ant202",4,12,12,2,0,12,5,4,0,3,5,13,0,7,3,3,0,0,5,4,1,3,5,5,5,23,3,2,17,0,11,0,2,1,8,5,7,0,0,5,0,2,11,5,23,5,13,1,12,1,0,2,1,0,0,3,16,16,1,0,7,0,6,1,7,5,9,19,8,0,6,5,0,2,1,0,2,3,4,8,31,7,17,15,1,2,2,4,7,0,3,11,17,3,14,11
"Ant209",11,43,2,3,13,0,20,24,14,17,36,22,0,35,23,33,0,5,0,11,24,20,9,5,1,13,13,4,3,0,4,3,6,2,20,0,15,11,5,11,0,8,6,3,2,0,15,9,11,0,2,0,0,0,0,35,5,4,5,0,5,0,48,22,0,10,41,25,34,0,26,45,0,0,12,0,0,9,2,4,14,3,3,0,9,21,2,22,22,2,7,0,10,16,7,0
"Ant268",1,0,0,0,0,1,4,3,0,1,13,0,0,5,0,0,9,4,11,0,2,3,0,2,1,2,0,0,0,0,1,0,0,1,3,0,2,3,0,5,0,1,9,6,10,1,1,0,0,0,10,1,1,0,0,19,1,1,3,0,19,1,5,2,0,2,4,5,1,0,2,2,0,1,8,0,6,1,1,2,5,1,4,1,1,3,0,4,5,1,0,19,2,0,2,0
"Ant308",15,28,1,0,23,2,11,1,24,15,14,26,1,6,25,13,0,1,24,2,0,2,6,1,0,3,2,7,2,0,0,3,1,0,9,0,13,1,19,5,5,5,0,2,0,0,11,18,35,0,0,0,0,0,0,10,2,0,4,0,11,0,19,10,0,12,22,26,13,0,23,25,1,0,13,2,0,1,1,3,1,1,4,7,9,15,3,7,7,1,11,1,2,37,3,1
"Ant311",5,19,1,1,15,0,6,16,9,20,10,17,1,0,11,11,2,3,20,3,2,0,4,6,2,7,12,3,1,3,4,4,5,1,17,1,23,3,2,7,1,2,8,4,1,7,8,19,7,0,0,2,0,3,1,3,4,2,2,0,3,1,15,12,2,4,19,4,6,5,4,14,0,2,11,1,3,11,1,8,1,4,3,0,28,14,1,5,5,10,0,2,6,3,13,1
"Ant518",10,19,0,1,25,1,12,9,30,7,4,3,5,11,9,4,2,5,9,0,6,4,0,6,0,4,8,3,2,6,4,3,12,1,1,0,6,6,13,8,14,1,5,0,1,0,16,7,4,0,1,0,0,9,0,0,3,9,0,7,3,0,0,7,0,2,20,10,5,6,1,10,8,0,6,7,0,4,1,2,2,0,0,0,9,2,0,27,3,22,13,0,2,4,2,0
"Ant620",0,4,7,4,0,1,2,4,0,14,0,14,0,0,1,0,1,5,5,2,1,6,6,0,1,6,1,3,9,0,11,0,3,4,1,0,7,2,0,3,0,0,9,2,0,5,0,0,0,7,7,4,2,0,0,1,2,13,4,0,3,1,3,3,5,7,0,1,3,0,5,5,0,0,3,0,1,11,0,0,11,8,2,3,1,1,1,0,0,0,0,4,8,2,3,3
"Ant0",1,0,6,0,0,3,0,1,0,0,1,2,0,0,1,0,1,5,1,1,0,2,0,1,0,2,0,0,3,0,1,0,0,13,1,1,0,0,0,0,0,0,2,4,1,8,0,0,1,6,2,2,8,0,3,0,3,3,3,0,0,0,0,0,2,2,0,2,3,0,1,0,0,2,0,0,3,0,6,0,5,0,1,0,0,0,0,0,2,0,0,2,13,3,1,2
"Ant13",8,2,3,3,0,4,8,9,0,2,0,2,0,4,7,4,1,23,13,2,3,7,4,6,2,0,4,7,5,0,12,0,4,4,3,3,3,2,1,3,0,1,3,15,6,1,0,0,4,3,1,13,3,0,6,8,0,13,0,0,0,5,6,0,10,1,3,11,7,0,1,4,0,0,0,0,1,7,4,3,13,7,4,0,0,1,4,4,19,0,1,3,21,0,12,6
"Ant23",1,11,0,1,41,2,1,6,29,17,11,3,11,6,5,11,0,3,13,0,2,12,8,1,0,4,0,19,0,23,0,11,21,0,4,0,13,12,11,0,15,2,2,0,0,0,11,12,0,2,0,0,0,9,0,2,4,0,0,2,2,0,7,3,0,2,15,6,5,5,3,21,4,0,18,8,0,2,0,1,2,2,4,0,17,23,1,5,0,16,7,0,0,10,12,2
"Ant27",1,15,1,2,31,1,4,8,22,10,7,2,7,2,16,7,0,2,4,0,7,3,3,3,0,7,19,0,1,7,6,5,7,2,1,2,6,10,11,2,15,5,14,0,2,1,4,7,1,0,0,0,1,6,0,6,2,2,1,5,1,0,11,3,1,5,6,3,14,5,2,5,1,0,10,2,0,13,0,1,4,0,3,1,4,4,1,9,3,24,11,0,5,11,6,2
"Ant29",3,1,9,2,2,5,4,2,0,1,0,6,0,2,0,8,2,17,3,0,2,1,2,9,3,5,0,1,0,0,5,0,2,3,5,2,6,0,1,3,0,2,4,3,5,3,0,0,3,0,4,4,5,0,0,3,1,19,4,0,4,6,2,0,4,6,1,2,2,0,9,0,0,2,1,0,4,2,7,4,2,6,6,2,3,6,5,0,5,0,4,14,19,3,5,16
"Ant32",0,0,0,0,22,0,0,0,16,16,0,0,6,2,0,3,0,0,0,0,0,3,6,0,0,0,23,7,0,0,0,4,15,0,0,0,0,7,7,0,16,1,2,0,0,0,7,8,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,2,0,0,4,0,1,7,0,0,1,0,11,6,0,0,0,0,0,0,0,0,17,0,0,5,0,19,9,0,0,0,0,0
"Ant42",0,7,3,5,2,4,6,5,2,0,2,0,0,1,10,2,5,11,4,1,0,4,4,11,1,12,0,6,5,0,0,0,1,1,2,2,3,2,0,1,0,2,8,3,0,8,4,1,0,2,5,4,3,0,0,0,0,4,6,0,11,0,5,2,0,10,0,3,0,0,9,1,0,1,1,0,0,6,2,1,13,8,0,13,1,3,1,2,11,0,1,3,14,8,7,4
"Ant43",0,8,0,0,31,0,0,0,31,18,0,3,7,17,13,5,0,0,3,0,3,4,3,0,0,0,11,5,0,4,0,0,7,0,1,0,4,9,7,0,22,1,3,0,0,0,37,15,1,0,0,0,0,9,0,0,0,0,0,23,4,0,1,7,0,0,9,0,0,61,3,3,15,0,10,43,0,0,0,0,0,0,2,0,10,0,0,20,0,16,15,0,0,13,0,0
"Ant44",2,9,0,1,33,7,6,15,28,8,3,9,9,8,6,10,0,2,6,0,1,5,12,3,0,4,21,7,2,15,1,7,0,0,6,0,10,8,13,4,18,4,11,5,0,1,13,1,3,2,0,0,0,6,0,3,3,7,2,11,2,0,9,5,0,1,3,3,1,11,5,7,12,2,30,22,1,3,0,4,0,5,6,0,33,4,0,5,2,11,6,2,3,2,8,3
"Ant50",0,0,8,4,1,1,1,2,0,0,2,5,0,0,0,0,5,1,2,1,0,1,1,4,13,4,0,2,3,0,1,0,0,0,0,9,1,0,0,1,0,0,1,2,3,0,0,0,0,11,2,8,3,0,3,0,11,6,2,0,1,19,0,1,14,0,1,4,0,0,3,0,0,0,0,0,5,3,10,4,4,4,0,2,0,1,11,1,3,0,0,2,15,0,7,3
"Ant55",1,12,0,0,2,3,6,9,4,11,8,13,0,8,1,3,1,8,20,3,9,17,1,1,1,3,4,1,5,0,2,1,6,0,0,1,7,6,0,16,0,6,5,6,3,1,6,0,1,0,2,0,1,0,0,2,7,0,0,0,5,0,5,3,2,13,3,3,2,0,15,12,0,0,2,0,0,5,5,0,8,7,7,0,3,3,4,4,2,0,4,6,2,1,13,2
"Ant63",2,0,3,1,0,1,2,1,0,0,3,2,0,1,0,0,1,5,0,0,0,1,0,0,1,3,0,2,2,0,2,0,0,9,1,0,1,1,0,3,0,0,2,5,0,1,0,0,2,0,6,8,9,0,0,1,7,11,2,0,1,3,4,0,6,2,0,0,0,0,2,0,0,0,1,0,4,2,1,0,1,1,3,8,0,3,3,2,6,1,0,2,7,1,6,2
"Ant97",2,18,1,3,14,0,1,21,18,9,9,8,0,13,10,10,3,7,15,2,13,23,6,7,0,3,13,6,6,0,3,4,10,1,7,1,0,2,8,21,2,4,6,0,1,1,7,1,5,0,4,0,0,5,0,4,13,7,0,1,7,0,10,7,0,3,18,5,18,2,25,9,3,0,15,9,2,6,1,17,2,18,11,0,7,7,0,9,5,2,15,8,7,5,18,7
"Ant98",2,30,0,0,39,0,0,0,32,6,0,0,12,14,5,10,0,0,11,3,1,3,6,2,0,2,12,10,0,7,2,9,8,0,6,1,2,0,20,0,19,2,8,4,1,0,7,30,0,0,0,0,0,6,0,0,2,0,0,17,1,0,1,3,0,0,15,2,2,10,3,3,8,0,9,6,0,3,0,0,0,0,0,0,10,3,0,15,3,24,10,0,1,1,0,0
"Ant100",0,13,0,0,59,0,0,0,43,13,3,3,16,23,4,5,0,0,5,0,19,2,13,0,0,1,11,11,1,7,0,7,13,0,0,0,8,20,0,0,11,6,11,0,0,0,37,19,0,0,0,0,0,12,0,6,0,0,3,1,0,0,4,36,0,3,6,12,3,37,0,2,10,0,17,7,1,7,0,3,0,3,1,0,29,5,5,19,3,45,7,0,4,7,6,0
"Ant109",5,3,2,1,1,1,8,7,0,1,2,5,0,3,4,7,1,5,11,5,5,7,8,3,0,3,0,2,3,0,1,0,4,1,16,3,21,0,0,0,0,3,15,7,2,0,1,2,13,0,2,2,1,0,0,24,10,2,4,0,7,0,15,6,2,4,1,4,5,0,6,1,0,0,2,0,1,5,1,3,4,12,3,14,1,17,5,13,3,4,1,1,11,1,6,1
"Ant113",0,13,0,0,58,3,3,0,47,9,1,0,15,14,6,10,0,0,0,0,5,1,14,0,0,0,15,15,0,16,0,22,18,0,0,0,2,19,11,0,0,4,2,0,0,0,21,23,0,0,0,0,0,21,0,0,0,0,0,26,1,0,0,13,0,2,13,12,0,37,1,22,14,0,13,27,0,0,0,0,0,0,0,0,7,0,0,13,2,23,17,0,0,10,0,0
"Ant115",5,23,0,2,9,2,4,9,8,13,5,11,1,7,5,3,1,2,8,1,5,2,1,0,0,1,2,5,2,1,2,1,4,0,6,0,4,2,6,3,4,0,6,2,0,0,8,15,3,0,1,2,0,4,0,3,3,1,1,2,4,0,14,7,0,8,6,1,8,1,7,6,0,0,2,3,0,1,0,0,2,2,2,0,4,9,2,3,2,4,1,0,0,20,0,0
"Ant117",12,15,3,5,8,1,3,12,13,14,2,14,0,2,4,5,3,11,6,9,0,8,5,9,2,3,2,14,4,2,8,3,11,1,5,2,6,8,11,15,2,6,0,6,7,9,4,2,11,3,2,5,5,6,4,3,10,12,2,0,9,7,6,4,2,1,7,4,7,4,4,5,4,3,17,3,4,4,8,3,14,3,6,14,5,11,2,1,5,7,3,8,1,5,16,1
"Ant127",2,0,4,1,3,0,11,5,0,2,3,5,0,0,5,9,1,5,3,6,2,4,0,2,4,15,0,0,3,0,3,0,5,2,6,5,0,4,0,7,0,2,6,0,4,7,0,2,4,1,0,0,2,0,0,1,5,6,0,0,2,0,3,0,5,2,1,3,3,0,5,2,0,0,0,0,0,3,5,0,11,3,6,32,0,2,2,0,13,0,1,1,12,0,4,0
"Ant137",4,2,0,0,0,0,3,1,0,0,1,3,0,1,0,4,2,23,2,10,0,1,1,0,1,6,0,2,5,0,0,0,0,3,3,0,1,1,0,2,0,0,7,4,0,1,3,0,1,5,2,6,6,0,4,7,2,4,1,0,0,0,6,1,2,2,2,3,0,0,3,0,0,1,1,0,0,0,4,1,3,0,0,2,0,1,4,0,8,0,1,5,10,0,6,1
"Ant139",2,3,5,1,0,4,1,0,0,0,0,4,0,0,2,0,2,5,0,1,0,7,0,5,8,1,0,1,3,0,8,0,1,0,1,1,1,0,0,0,0,0,9,7,1,0,0,0,1,1,4,3,6,0,0,0,0,9,1,0,3,5,1,0,3,5,0,0,0,0,2,4,0,0,0,0,0,1,3,2,6,0,0,4,0,1,1,2,1,0,0,24,3,0,1,5
"Ant142",0,15,3,3,72,3,6,0,52,32,8,3,25,10,10,29,1,13,15,1,11,8,16,0,0,0,11,4,0,7,4,37,13,0,6,0,7,7,37,1,21,8,4,0,3,0,0,34,0,0,0,0,0,16,0,0,0,2,0,11,0,0,7,16,0,2,22,10,3,27,15,15,51,0,28,22,0,4,0,1,0,1,0,0,13,5,0,10,0,66,19,4,5,19,13,3
"Ant149",1,51,0,0,76,0,1,4,37,89,0,24,10,12,39,20,0,1,9,0,18,19,7,0,0,0,12,7,0,8,1,15,1,0,0,0,1,30,19,2,23,15,2,2,0,0,34,0,0,0,0,0,0,5,0,4,2,0,0,10,14,0,12,23,0,0,59,4,22,24,4,11,12,0,38,41,1,3,0,0,0,4,1,0,32,10,0,36,0,16,7,0,11,101,0,0
"Ant153",11,8,2,16,3,13,16,2,2,7,2,7,0,8,10,15,4,12,11,0,35,7,4,0,1,4,0,1,3,0,0,1,3,0,1,2,5,0,0,13,0,3,11,4,1,1,0,0,0,3,0,11,0,0,0,0,1,3,1,0,1,0,3,0,5,15,6,17,8,0,10,6,0,2,5,0,0,2,1,1,2,2,7,0,0,23,3,8,18,0,0,3,9,0,3,0
"Ant156",5,1,6,5,0,2,0,0,0,1,0,1,0,0,0,0,3,1,0,0,0,0,0,7,6,3,2,0,0,0,2,0,2,11,0,0,0,0,0,0,0,0,3,1,5,1,0,0,3,0,6,3,4,0,10,0,0,2,3,0,0,18,0,0,4,3,1,1,1,0,1,0,0,1,0,0,0,2,3,2,1,2,0,0,0,0,1,0,2,0,0,0,10,0,1,0
"Ant159",0,2,2,4,0,2,2,0,0,1,0,0,0,2,2,0,3,0,2,10,0,0,1,7,2,1,0,0,4,0,5,0,0,2,2,6,4,0,0,2,0,1,2,0,2,4,0,0,0,6,0,2,5,0,0,2,0,1,12,0,5,3,1,0,3,1,1,1,0,0,4,2,0,0,0,0,3,1,1,0,9,0,4,2,2,0,0,0,0,0,0,15,8,0,2,0
"Ant169",0,3,7,1,1,2,1,0,0,0,0,4,0,0,0,1,18,2,0,1,0,2,0,4,2,13,0,0,4,0,4,0,0,8,0,8,0,0,0,2,0,2,5,0,6,3,0,0,11,3,2,0,4,0,1,9,3,9,0,0,0,3,4,0,9,1,2,0,0,0,4,0,0,1,0,0,9,4,1,0,0,0,0,2,0,0,5,2,11,0,0,8,11,1,5,1
"Ant173",1,0,6,0,0,6,0,0,0,3,0,2,0,0,0,1,9,1,0,1,0,0,0,2,8,3,0,1,5,0,3,0,0,3,1,9,0,0,0,1,0,0,5,2,6,6,0,0,0,4,5,4,0,0,0,0,2,3,3,0,1,5,1,0,13,0,2,0,0,0,1,0,0,4,0,0,2,2,3,0,1,1,2,3,0,0,0,0,1,0,0,0,5,0,0,0
"Ant176",0,0,0,0,36,0,0,0,32,9,0,0,19,6,3,8,0,0,0,0,0,3,9,0,0,0,9,6,0,8,0,9,6,0,0,0,5,6,12,0,21,4,6,0,0,0,16,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,11,0,0,4,0,0,5,0,2,5,0,7,11,0,0,0,0,0,0,0,0,14,0,0,3,0,32,5,0,0,0,0,0
"Ant178",0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,1,0,0,3,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,10,0,1,0,0,0,2,1,2,0,0,0,4,0,0,6,0,0,1,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,3,6,0,0,1,3,0,0,0
"Ant186",8,1,1,1,0,0,7,7,6,0,30,0,0,2,2,5,2,3,35,19,10,3,0,1,0,8,2,6,3,0,0,0,3,0,2,1,4,0,6,24,0,3,3,1,7,0,0,4,0,0,2,9,0,0,2,0,6,1,5,0,3,0,33,6,2,5,6,15,19,0,5,8,0,0,8,0,6,2,0,6,6,8,13,0,1,6,3,3,15,0,1,0,1,6,0,0
"Ant190",0,2,0,0,1,0,6,3,8,2,2,3,0,0,3,8,3,16,5,1,2,4,3,2,3,0,4,2,1,0,0,0,3,11,7,7,13,2,0,10,0,3,10,5,2,0,0,2,1,0,0,3,2,0,1,6,0,1,0,0,0,0,1,0,11,10,2,4,10,0,1,5,0,0,7,0,2,1,0,15,1,4,2,13,1,7,7,3,17,0,1,6,6,1,5,6
"Ant207",8,0,11,2,0,2,0,5,0,2,2,11,0,1,3,4,6,16,4,1,0,2,9,13,3,13,0,2,19,0,4,0,7,6,0,11,7,0,0,2,0,1,12,6,4,9,2,0,3,2,1,9,3,0,2,1,1,0,0,0,2,9,2,0,11,7,2,5,1,0,3,1,0,1,2,0,0,5,7,2,3,4,4,1,0,1,1,0,0,0,1,7,11,0,6,3
"Ant215",0,2,1,1,0,1,4,0,0,0,1,1,0,1,0,0,0,1,5,3,4,2,0,4,3,0,0,1,4,0,6,0,2,2,0,2,0,0,3,4,0,1,2,0,1,1,0,0,1,3,12,0,3,0,0,5,0,0,0,0,6,4,3,0,1,2,1,0,1,0,0,0,0,0,0,0,0,5,0,5,2,1,27,0,1,0,2,2,1,0,0,1,1,1,2,2
"Ant217",0,0,0,0,51,0,0,0,22,3,0,0,35,19,20,3,0,0,0,0,0,0,7,0,0,0,2,5,0,5,0,23,11,0,0,0,1,17,1,0,26,2,0,0,0,0,11,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,54,1,0,18,0,5,26,0,0,0,0,0,0,0,0,7,0,0,16,0,14,6,0,0,8,3,0
"Ant218",0,5,4,1,5,0,0,0,1,3,0,2,0,11,3,2,4,7,5,19,11,3,3,3,0,0,2,1,4,0,11,4,2,1,5,1,7,1,0,7,1,4,9,2,0,3,0,14,1,0,5,0,1,0,0,3,0,2,6,0,0,0,7,0,3,1,11,5,5,0,7,6,0,0,3,0,0,0,0,3,2,4,1,0,3,4,0,2,2,0,0,0,2,4,3,3
"Ant219",0,0,9,1,0,0,1,0,0,0,0,3,0,0,0,0,18,0,0,1,0,1,0,1,0,5,0,0,6,0,0,0,0,19,0,3,0,0,0,0,0,0,7,0,0,5,0,0,0,18,3,3,5,0,4,0,0,9,4,0,0,0,0,0,3,2,0,1,1,0,0,0,0,16,0,0,12,1,6,3,2,0,3,0,0,0,6,0,2,0,0,3,10,0,1,0
"Ant232",15,17,1,0,8,0,13,1,9,34,22,21,0,22,3,25,1,6,48,5,19,15,0,3,0,6,7,11,2,0,5,1,9,0,5,4,10,1,4,15,0,14,6,3,6,1,7,12,3,0,1,4,1,0,0,33,1,2,3,0,7,0,0,16,0,7,22,11,30,0,23,18,0,0,18,0,0,2,0,5,12,9,2,0,23,4,2,12,15,1,4,1,3,2,13,1
"Ant238",16,47,0,0,32,0,23,2,16,17,10,4,14,17,16,0,0,1,22,2,10,12,7,3,0,0,3,3,0,2,2,7,5,1,3,0,7,3,36,6,13,7,4,0,1,0,16,23,0,0,0,0,0,11,0,6,0,0,0,10,0,0,16,0,0,7,22,1,8,11,7,35,14,0,7,30,0,0,0,0,4,3,2,0,8,2,5,28,0,25,11,0,0,29,2,0
"Ant242",0,0,8,3,0,5,2,0,0,0,0,6,0,0,0,0,0,7,0,0,0,2,0,5,2,10,0,1,4,0,0,0,0,14,2,6,0,0,0,2,0,0,2,5,2,3,0,0,5,4,3,9,13,0,6,2,11,11,1,0,3,3,0,0,0,1,0,0,0,0,1,0,0,11,0,0,2,0,0,0,1,2,1,0,0,2,1,0,0,0,0,1,9,0,6,0
