"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant127","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant64",3,16,1,8,21,11,4,4,12,38,1,0,12,17,0,15,2,17,20,2,1,7,9,12,2,0,0,6,3,0,6,3,8,3,4,5,1,7,25,14,7,4,16,10,7,1,2,11,2,10,1,1,1,0,0,3,1,8,2,1,2,7,6,9,0,7,6,3,3,0,6,11,0,2,6,8,1,17,2,9,3,5,6,7,1,18,1,7,5,0,2,6,0,16,2,22
"Ant73",3,89,0,0,3,0,14,27,6,16,1,12,0,4,0,8,0,18,8,3,5,4,2,6,0,1,3,10,3,5,0,10,3,1,6,0,8,13,21,0,11,2,0,0,0,0,20,19,19,1,0,0,0,0,0,2,1,0,0,8,0,0,7,17,0,0,2,21,7,0,0,10,0,2,9,0,1,2,0,0,0,2,0,4,22,6,0,3,5,0,2,0,0,45,1,0
"Ant76",1,17,0,0,2,3,2,10,6,16,5,17,4,0,6,11,0,20,9,0,0,24,10,1,0,1,2,2,6,9,0,24,5,1,9,1,12,11,14,2,12,0,0,0,0,2,19,16,2,2,0,0,0,1,0,13,2,1,2,4,1,0,0,14,0,1,11,23,15,1,5,12,0,3,9,10,1,3,0,0,0,6,1,17,7,1,0,9,5,13,17,0,0,12,0,0
"Ant148",0,6,0,0,18,0,0,0,13,1,0,0,0,6,0,0,0,0,0,0,0,21,14,0,0,0,0,0,0,21,0,13,7,0,0,0,0,1,9,0,4,0,0,0,0,0,51,32,0,0,0,0,0,11,0,0,0,0,0,17,0,0,0,10,0,0,34,0,0,22,0,0,1,0,0,17,0,0,0,0,0,0,0,0,11,0,0,4,0,40,19,0,0,0,0,0
"Ant158",11,5,0,1,0,5,15,1,1,10,8,15,8,11,0,0,2,4,7,3,1,10,2,5,0,3,5,5,7,7,1,0,1,0,12,4,3,4,6,1,0,1,0,1,1,1,0,0,9,2,6,3,0,0,2,11,1,2,2,0,1,1,10,4,1,2,5,7,11,0,4,10,0,6,11,0,2,2,2,0,0,5,1,9,4,2,0,0,1,0,11,1,0,3,1,4
"Ant191",8,3,7,7,0,2,15,3,0,3,0,2,0,0,0,2,0,2,4,14,0,1,0,2,4,11,0,4,5,0,1,0,0,14,0,5,1,0,1,3,1,2,7,5,0,6,0,0,1,24,6,11,9,0,12,2,0,0,10,0,0,20,0,0,20,8,0,1,2,0,2,0,0,1,1,0,7,0,13,1,1,1,5,1,1,3,14,0,4,0,0,12,6,0,2,13
"Ant202",9,14,6,3,1,14,11,10,5,12,9,17,18,20,0,4,2,0,19,1,10,10,6,2,4,19,6,9,7,10,1,5,0,1,13,1,7,3,5,2,12,2,2,11,7,0,3,2,3,5,3,4,3,0,7,45,5,6,0,6,1,0,20,9,3,13,0,31,1,0,6,14,0,1,19,0,0,9,2,0,6,7,3,23,5,12,1,4,7,0,0,8,2,0,9,5
"Ant209",11,26,2,1,0,0,2,0,9,8,14,20,8,9,0,7,4,19,0,1,9,6,3,12,0,1,11,24,8,7,0,3,7,1,0,3,12,5,31,18,10,11,1,6,1,1,2,8,2,2,2,5,0,0,0,21,5,5,2,0,12,0,12,18,1,3,2,43,16,0,4,5,0,13,6,15,8,3,1,1,0,0,3,4,8,2,0,5,9,0,3,2,0,13,2,2
"Ant268",10,0,1,0,1,0,3,2,0,4,1,2,3,0,0,3,14,1,1,0,2,1,0,3,0,9,0,13,2,0,4,0,0,2,0,3,7,1,3,1,0,4,2,12,3,4,0,0,1,6,3,5,0,0,0,4,16,10,5,0,2,0,2,1,5,1,0,1,6,0,2,0,0,1,2,0,1,1,6,2,1,0,11,0,1,3,1,1,1,0,0,4,1,1,2,0
"Ant308",10,1,0,0,2,5,7,4,2,5,2,1,5,0,0,1,0,10,9,2,0,6,3,0,0,0,9,5,1,1,2,3,2,1,4,1,5,9,13,3,12,6,6,2,0,1,2,4,5,6,1,2,1,0,2,6,8,1,1,2,0,0,23,4,2,10,0,15,8,0,2,18,0,3,5,0,2,2,0,0,1,1,2,3,11,17,3,4,5,0,2,0,0,8,3,3
"Ant311",6,10,0,0,9,6,3,4,7,8,20,7,4,24,21,10,1,10,6,1,6,0,2,3,1,9,3,4,3,19,0,6,9,2,3,0,4,4,15,7,5,0,1,2,3,0,18,15,9,0,0,1,0,5,6,4,1,6,0,2,3,1,10,5,0,0,4,5,7,9,2,1,22,0,2,7,4,9,0,0,0,1,2,3,9,3,1,6,5,5,8,3,0,7,4,2
"Ant518",8,18,2,0,7,1,2,4,20,14,3,9,2,10,14,2,0,6,3,0,3,2,0,0,0,0,6,7,0,23,0,19,7,0,5,0,18,6,19,7,9,2,1,6,0,2,23,13,8,4,1,0,1,7,0,4,0,1,1,29,1,0,1,8,0,2,19,4,11,6,0,12,2,2,3,5,1,11,0,0,4,1,0,7,5,4,0,13,6,15,13,1,1,8,1,0
"Ant620",2,1,6,7,1,3,3,3,0,3,5,12,6,1,0,5,2,2,12,3,0,3,0,0,2,5,3,24,8,2,8,0,6,2,3,3,2,3,0,4,4,0,12,7,5,2,0,0,0,9,1,1,5,0,9,9,5,0,0,0,10,5,6,1,9,6,0,3,8,0,1,0,0,0,4,0,1,6,1,4,2,1,3,0,0,8,0,0,4,0,0,12,4,1,8,3
"Ant0",1,0,11,0,0,0,0,3,0,5,0,2,0,0,0,0,4,4,0,0,0,1,0,2,2,3,0,0,2,0,4,0,0,2,0,0,0,3,2,0,0,0,5,3,1,2,2,1,0,4,3,0,6,0,6,0,3,1,4,0,3,10,0,0,5,6,0,0,3,0,0,0,0,0,0,0,1,3,3,7,0,2,1,0,0,5,0,0,3,0,0,1,2,0,1,0
"Ant13",3,2,9,3,1,1,1,6,1,6,7,0,1,1,0,3,11,19,1,9,0,9,0,5,3,0,1,9,4,0,2,0,0,5,0,4,0,5,8,9,4,2,10,6,4,0,4,1,2,5,12,8,1,0,24,4,0,6,5,0,2,2,1,0,3,5,0,0,4,0,14,3,0,0,2,0,2,3,5,1,3,7,7,0,0,4,4,1,4,0,0,6,7,0,0,5
"Ant23",14,11,4,0,16,0,2,2,20,7,4,0,3,2,0,5,0,6,11,0,9,3,6,3,0,1,0,4,0,19,1,1,1,0,6,0,8,4,14,3,7,4,8,0,1,0,0,17,8,1,0,1,0,3,1,0,1,1,0,17,1,0,10,2,0,3,26,3,8,14,6,2,1,8,5,7,1,0,1,3,3,0,0,0,3,7,0,12,7,9,0,2,0,6,7,0
"Ant27",10,20,3,7,2,2,6,15,2,12,8,6,10,2,0,5,4,9,24,13,5,4,7,24,0,9,4,0,6,1,5,0,16,3,1,5,15,2,14,2,13,7,8,8,4,3,3,1,18,3,1,2,0,0,7,1,3,10,3,0,17,0,16,6,1,2,2,5,14,0,7,1,0,2,16,1,3,16,4,2,8,4,3,0,6,13,1,2,9,0,5,3,8,13,9,3
"Ant29",16,9,2,6,2,15,8,1,1,13,1,3,3,6,0,7,5,7,8,2,1,3,0,8,2,4,0,6,0,1,0,2,4,2,2,0,12,4,9,0,4,2,6,14,1,5,3,1,1,7,4,1,0,0,12,3,2,7,0,2,2,0,2,1,3,2,3,0,4,0,5,0,0,0,2,0,6,6,1,4,3,17,6,1,1,6,11,0,6,0,0,5,4,11,11,2
"Ant32",2,25,0,0,23,2,0,1,41,25,0,0,5,9,21,7,0,10,7,0,1,19,23,2,0,0,19,1,1,0,0,16,12,0,1,0,7,8,15,3,10,3,0,0,1,0,25,32,2,5,0,0,0,13,1,0,1,0,0,17,0,0,2,5,0,0,31,8,4,16,0,12,4,0,5,64,0,0,0,0,1,1,0,0,6,8,0,14,2,19,9,0,0,11,1,0
"Ant42",1,0,10,3,0,0,2,0,0,8,5,6,0,0,0,1,1,1,0,4,2,0,0,8,4,2,1,5,0,0,0,0,0,8,1,3,0,2,0,0,4,0,8,5,19,0,0,0,0,4,1,1,6,0,14,0,1,2,0,0,4,8,12,0,3,9,0,0,1,0,8,0,0,0,0,0,0,3,3,3,4,3,22,0,0,6,0,1,0,0,1,5,3,7,9,2
"Ant43",0,13,0,0,21,0,4,4,19,16,1,3,10,24,13,0,0,5,3,0,3,6,19,0,0,0,1,0,2,16,0,0,2,0,0,0,0,4,38,1,11,2,0,5,0,0,25,11,1,0,0,0,0,8,0,0,4,2,0,20,1,0,2,8,0,1,29,0,2,2,0,7,2,0,3,18,0,1,1,0,0,3,0,0,10,5,0,46,3,9,4,2,0,14,0,0
"Ant44",3,17,1,3,11,0,0,1,23,12,2,8,3,5,7,1,0,0,7,0,2,9,7,6,0,0,1,16,4,12,0,2,0,2,0,0,2,0,9,2,10,0,4,1,0,0,32,6,7,0,2,3,0,3,2,1,3,4,0,4,1,0,2,8,0,4,3,2,2,6,3,0,8,0,2,9,0,1,1,0,2,1,1,0,10,8,0,13,0,2,15,0,1,8,2,0
"Ant50",5,3,6,5,0,2,1,2,0,6,0,3,1,1,0,0,14,1,1,2,1,2,0,2,2,5,0,3,2,0,8,0,2,0,0,3,5,2,3,3,4,0,11,2,2,7,0,0,0,30,5,3,12,0,16,3,5,8,0,0,1,6,1,0,5,0,0,1,4,0,1,0,0,1,4,0,1,2,6,5,6,1,15,2,0,3,1,0,8,0,0,10,6,3,18,3
"Ant55",9,0,5,1,0,9,7,4,3,6,10,4,6,9,0,12,0,13,0,0,4,3,5,3,0,0,6,1,2,1,1,0,0,0,0,2,13,1,5,5,2,4,7,3,1,1,0,0,8,2,1,0,2,0,2,3,6,12,0,1,0,0,3,4,0,9,1,6,10,0,4,5,0,0,2,0,0,8,2,1,3,0,0,2,4,5,3,4,4,0,0,0,6,2,7,6
"Ant63",4,0,4,1,1,3,2,3,1,2,2,5,0,1,0,4,5,1,3,3,1,0,0,3,0,4,0,5,0,0,3,0,0,3,2,0,2,1,2,0,0,0,2,6,2,0,0,0,1,4,7,3,11,0,4,0,8,3,0,0,0,2,0,1,5,4,1,2,2,0,6,0,0,0,0,0,9,1,7,1,6,1,7,2,1,1,5,0,5,0,0,4,5,0,3,6
"Ant97",3,6,1,0,2,5,1,4,3,10,6,1,8,12,0,3,1,7,12,7,5,4,18,2,0,0,8,15,12,7,0,0,2,5,13,2,0,6,25,0,4,4,1,1,0,1,2,4,8,6,4,1,0,0,0,5,2,0,3,11,0,1,2,2,0,1,4,14,6,0,2,13,0,0,6,2,1,2,1,0,3,2,1,10,27,5,0,5,9,0,5,1,1,11,6,2
"Ant98",17,36,5,2,15,2,9,6,19,18,4,7,13,11,1,4,0,3,5,1,9,4,6,3,3,5,4,2,4,8,2,4,0,2,1,1,6,0,34,2,13,3,3,0,3,0,18,8,12,1,3,3,0,4,0,11,3,2,1,3,6,1,7,12,0,1,16,1,15,0,0,6,11,1,7,17,0,6,3,1,0,7,1,1,10,10,0,17,6,7,1,0,1,15,3,2
"Ant100",4,103,6,0,21,2,7,14,25,37,2,25,21,14,9,6,1,5,31,3,13,15,19,0,2,8,14,14,9,15,0,38,9,3,5,2,25,34,0,10,33,17,1,4,2,5,13,14,25,1,0,5,0,6,0,11,2,7,4,11,6,1,15,18,1,4,24,17,19,9,4,9,0,13,38,24,4,7,0,1,2,10,1,9,17,28,1,27,2,7,25,1,0,62,0,5
"Ant109",5,2,5,4,2,0,8,6,0,7,3,14,0,2,0,1,3,2,18,1,3,7,7,4,0,9,3,2,0,3,0,1,2,3,5,0,0,2,10,0,4,0,20,6,1,2,1,2,3,0,3,1,0,0,0,3,6,14,2,1,1,0,0,2,1,8,2,1,8,0,5,7,0,0,7,0,1,6,0,1,2,3,1,4,0,1,0,1,15,0,1,0,0,11,12,3
"Ant113",3,64,1,2,14,4,11,2,31,10,3,7,11,12,4,0,1,12,10,0,12,5,9,4,0,4,7,13,4,10,4,11,10,4,2,0,4,13,33,4,0,8,2,6,1,5,13,18,8,0,1,0,0,2,2,1,10,3,1,13,3,0,5,21,0,4,17,7,2,7,6,6,6,0,15,26,0,3,6,0,1,0,1,8,3,11,1,19,9,4,10,0,0,23,4,4
"Ant115",4,14,1,3,0,2,2,5,0,4,2,4,2,0,0,1,2,2,11,4,6,0,2,0,0,2,4,7,2,3,0,2,0,0,4,0,4,3,17,0,8,0,3,3,0,1,2,2,1,0,0,0,0,0,0,1,4,1,0,2,5,0,11,4,1,5,2,1,2,0,1,1,0,1,1,1,2,0,0,0,0,4,0,2,4,2,0,3,6,0,0,0,1,10,6,2
"Ant117",1,4,9,3,0,9,0,7,2,17,19,16,0,0,0,0,7,2,1,2,6,1,1,12,5,10,8,8,6,0,8,0,4,11,7,2,1,3,1,20,2,3,0,13,6,1,0,0,8,15,3,8,2,0,15,5,2,7,1,0,8,11,11,0,4,3,0,0,1,0,24,2,0,0,0,0,0,12,3,10,4,5,5,0,2,7,11,1,11,0,0,7,5,0,10,0
"Ant127",5,0,3,4,2,2,3,3,4,13,1,10,0,0,0,1,5,11,6,12,2,2,6,7,3,6,0,8,14,0,5,5,1,2,3,6,1,0,4,6,6,3,13,0,2,4,1,0,10,2,1,0,3,0,0,0,6,9,1,0,5,0,14,0,1,13,1,1,0,0,2,0,0,1,0,0,5,6,12,18,4,4,15,0,0,1,0,0,10,0,0,0,0,2,2,0
"Ant137",1,0,6,3,0,4,2,0,0,6,0,7,0,0,0,1,0,7,1,3,0,3,0,5,1,4,1,4,1,1,19,0,0,2,1,2,0,3,2,1,1,0,6,2,0,0,2,3,1,4,4,0,0,0,0,2,0,7,1,0,7,23,0,0,0,1,1,6,0,0,0,2,0,0,3,0,0,2,3,0,0,10,1,0,2,0,7,2,2,0,0,7,7,2,3,2
"Ant139",2,2,1,1,0,0,2,0,0,5,0,1,0,2,0,1,6,0,1,4,1,0,2,2,2,0,0,3,5,0,0,0,0,7,1,0,1,0,5,2,5,1,1,4,0,0,1,0,1,10,0,9,14,0,8,1,0,3,0,0,2,3,0,1,2,5,0,1,0,0,2,1,0,1,2,0,4,2,0,3,1,0,8,0,0,2,3,1,2,0,0,18,9,2,0,4
"Ant142",0,24,2,1,71,0,0,5,57,7,0,2,20,19,51,0,0,3,2,0,2,18,23,0,2,4,0,3,3,25,0,25,32,0,0,0,2,18,13,1,13,2,0,1,2,1,0,33,2,0,0,0,0,8,0,0,0,4,0,28,1,0,1,17,0,0,24,10,1,15,2,0,15,0,10,63,0,1,0,0,0,2,2,0,42,9,0,52,0,34,28,1,1,11,1,0
"Ant149",3,71,0,1,14,1,10,4,36,32,0,11,19,16,32,0,0,2,8,0,4,15,13,0,1,1,17,1,1,32,0,11,6,0,0,0,4,8,14,2,18,2,0,0,3,0,33,0,5,3,0,1,1,8,0,9,4,1,0,23,2,0,10,24,0,0,24,15,6,4,1,14,1,0,5,37,0,2,0,0,0,0,0,3,3,6,0,17,1,18,15,0,0,28,3,0
"Ant153",0,0,1,0,6,1,9,1,9,14,4,2,19,2,0,9,1,3,2,1,5,9,8,0,0,2,8,18,1,2,0,1,7,0,8,1,8,12,25,3,8,1,8,10,1,1,2,5,0,1,0,0,0,0,2,11,0,1,4,8,1,1,2,20,1,1,0,9,1,0,3,11,0,2,10,0,3,1,0,1,2,4,1,14,3,6,0,3,9,0,4,1,0,12,0,2
"Ant156",6,11,19,2,0,0,1,1,0,9,0,10,1,2,0,2,24,5,2,6,6,0,4,9,4,5,1,3,7,5,4,0,0,30,2,4,6,1,1,0,0,0,15,2,4,10,0,3,1,0,2,5,14,0,2,1,6,9,0,3,12,14,1,2,8,15,1,1,3,0,1,0,0,2,1,0,0,1,6,5,3,1,5,3,0,7,2,0,2,0,1,9,6,7,1,0
"Ant159",4,2,3,2,0,1,0,0,2,6,3,1,0,0,0,6,6,3,2,3,1,0,1,1,3,12,0,1,4,0,1,0,2,5,1,7,4,3,0,3,1,0,3,1,4,0,0,0,0,2,0,1,1,0,5,0,6,3,1,0,1,3,1,2,2,0,0,0,0,0,2,0,0,0,0,0,3,0,7,2,6,2,5,0,0,5,2,3,2,0,0,7,4,4,1,5
"Ant169",9,2,10,1,0,2,1,1,2,6,0,1,0,0,0,3,11,4,5,5,2,1,0,1,0,8,1,2,1,0,1,0,3,3,0,3,1,3,5,1,0,0,8,0,0,9,0,1,0,5,1,0,3,0,5,1,4,10,4,0,2,17,6,0,8,1,0,2,1,0,2,0,0,0,0,0,1,1,2,1,1,2,8,0,0,1,1,0,0,0,1,14,0,0,1,4
"Ant173",1,1,4,0,0,2,0,0,0,0,0,1,0,0,0,0,9,3,0,0,1,0,1,5,6,1,0,0,0,0,6,0,0,12,2,11,0,0,0,0,0,0,2,3,0,14,0,1,0,14,1,3,0,0,6,0,1,1,0,0,1,5,1,0,6,1,0,0,2,0,0,0,0,0,0,0,4,3,2,4,10,2,4,0,0,1,3,0,0,0,0,7,8,0,6,0
"Ant176",0,0,0,0,9,0,0,0,10,0,0,0,0,1,11,0,0,0,0,0,0,5,7,0,0,0,3,0,0,13,0,8,3,0,0,0,0,4,6,0,2,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,15,0,0,37,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,4,0,35,1,0,0,0,0,0
"Ant178",0,6,7,3,0,5,3,0,0,8,6,0,0,0,0,2,12,7,0,0,2,6,0,9,6,24,1,7,12,1,14,0,2,16,2,4,0,0,0,0,2,0,15,0,0,8,0,0,2,2,5,5,6,0,0,7,7,23,3,0,1,0,7,0,6,5,0,1,1,0,17,5,0,2,0,0,2,11,5,4,3,1,10,0,0,3,4,0,0,0,0,14,7,5,9,18
"Ant186",4,0,14,0,1,20,15,6,0,1,1,3,2,13,0,11,2,45,21,4,6,4,4,9,0,4,0,1,3,0,0,0,1,3,3,0,5,11,11,3,1,1,5,0,2,1,0,9,11,1,0,1,0,0,7,0,0,0,9,0,0,0,3,9,2,1,0,23,10,0,0,18,0,10,12,0,2,1,4,0,0,2,0,76,6,11,0,3,9,0,1,0,1,7,0,4
"Ant190",4,2,4,8,2,0,6,3,1,14,1,1,1,2,0,1,0,5,5,16,8,1,0,5,3,0,1,3,2,1,1,4,3,5,6,8,2,3,2,6,10,4,2,6,0,0,0,4,0,6,6,4,1,0,7,0,0,19,1,0,2,0,7,1,4,4,4,2,7,0,10,0,0,0,0,0,2,1,13,1,5,0,4,0,3,4,3,0,15,0,1,7,0,2,13,0
"Ant207",7,0,2,15,1,0,6,5,0,18,9,8,0,1,0,2,0,6,5,10,1,6,1,0,1,6,1,10,7,0,2,2,4,8,12,3,0,2,7,14,3,1,7,9,7,3,4,1,1,9,3,10,1,0,23,0,19,0,0,0,7,12,7,2,9,9,0,1,2,0,2,0,0,0,1,0,4,17,5,4,0,4,7,0,0,2,0,2,2,0,0,7,8,2,11,5
"Ant215",3,2,3,0,0,3,7,3,1,2,3,2,0,2,0,2,10,0,2,5,1,0,1,0,4,5,0,3,0,0,0,0,0,0,0,0,3,1,4,2,1,0,1,1,1,0,0,0,4,0,1,4,0,0,3,9,1,0,0,0,1,1,0,0,3,0,0,1,2,0,5,3,0,0,2,0,1,0,2,0,1,0,2,3,0,1,4,0,0,0,0,2,3,0,3,0
"Ant217",0,6,0,0,29,1,5,6,25,6,2,1,8,4,17,0,0,6,0,0,2,2,29,0,0,0,17,0,2,17,0,20,4,0,1,0,11,3,11,1,13,2,0,0,0,0,28,23,8,3,0,0,0,17,0,0,0,0,0,0,0,0,10,8,0,0,24,2,1,24,0,2,1,0,6,16,0,2,0,0,0,0,0,1,2,0,0,5,1,21,15,0,0,13,3,0
"Ant218",4,4,0,3,0,0,16,1,0,9,0,2,0,1,0,1,0,1,12,2,0,3,1,10,3,2,1,17,2,0,4,1,1,1,0,0,0,6,6,1,3,5,8,5,7,2,1,2,1,12,1,2,1,0,1,0,2,7,1,0,0,3,0,1,2,2,1,0,7,0,7,1,0,0,6,0,3,4,4,4,3,2,3,0,2,1,0,3,0,0,2,5,6,7,3,1
"Ant219",0,1,23,2,0,0,0,0,0,10,2,7,0,0,0,1,20,0,0,0,0,1,0,5,10,2,0,0,0,0,8,0,0,6,0,2,1,1,1,0,0,0,11,0,23,3,0,0,1,14,3,17,5,0,0,0,0,12,1,0,3,0,0,0,13,4,1,0,1,0,1,0,0,0,0,0,0,0,2,16,5,2,7,0,0,2,1,0,3,0,0,4,7,3,3,2
"Ant232",3,4,1,0,9,7,11,10,8,8,2,6,7,0,0,10,0,20,12,2,23,10,1,6,0,1,10,16,2,2,12,2,2,1,3,0,2,7,15,0,5,11,11,14,0,0,1,10,2,1,1,6,1,0,7,3,7,7,0,10,0,0,0,5,3,6,0,11,7,0,4,2,0,0,15,0,0,1,4,1,0,0,9,8,7,7,1,1,11,0,2,0,3,1,3,1
"Ant238",1,62,2,1,3,2,3,9,15,6,3,9,17,14,10,4,0,9,18,1,4,5,8,1,0,0,2,6,1,5,0,8,8,0,4,1,2,12,18,2,21,4,0,0,0,1,17,24,20,2,2,0,0,0,0,9,1,2,0,8,1,0,5,0,0,0,26,9,5,1,1,17,0,3,12,1,0,12,0,0,0,3,0,7,4,23,0,4,2,6,11,1,0,22,1,2
"Ant242",2,0,5,2,0,4,0,0,0,3,0,0,0,0,0,1,20,3,1,5,2,0,0,9,5,3,0,1,3,0,3,0,0,5,0,5,0,0,1,1,0,1,4,1,0,2,0,0,1,8,2,8,6,0,6,2,4,9,3,0,2,13,3,0,0,0,0,0,0,0,3,0,0,0,0,0,11,3,13,0,4,1,2,0,0,3,7,0,2,0,0,4,2,0,5,4
