"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant158","Ant191","Ant196","Ant252","Ant308","Ant518","Ant0","Ant13","Ant23","Ant27","Ant32","Ant43","Ant44","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant149","Ant159","Ant169","Ant176","Ant178","Ant186","Ant190","Ant198","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant289","Ant298","Ant324","Ant342","Ant347","Ant380","Ant390","Ant394","Ant395","Ant458","Ant475","Ant482","Ant492","Ant501","Ant538","Ant560","Ant564"
"Ant38",1,4,2,0,2,19,1,2,11,0,0,2,0,0,0,13,13,2,1,12,0,3,5,4,0,2,1,0,3,1,0,4,9,0,1,3,0,0,2,1,12,0,8,34,10,1,0,0,0,3,6,0,0,0,1,0,6,2,2,6,10,5,0,1,0,27,19,0
"Ant60",0,8,38,5,1,0,8,0,9,10,2,0,3,11,1,0,5,17,0,3,8,6,0,2,2,0,3,12,16,7,25,2,0,17,2,0,0,0,0,4,2,10,0,1,5,15,5,2,7,28,0,6,15,7,0,1,1,4,3,2,1,0,2,4,1,0,1,2
"Ant76",10,5,0,0,5,45,3,7,1,0,0,3,0,0,0,13,12,0,8,6,0,0,3,1,0,6,0,0,1,1,2,4,9,0,0,0,0,0,9,0,3,3,17,9,9,9,1,19,0,4,12,0,0,2,9,0,9,1,0,12,13,3,0,0,0,4,8,0
"Ant158",0,1,3,3,0,0,0,0,3,22,0,11,0,0,3,0,0,7,0,0,8,11,0,0,19,0,2,17,1,7,0,0,0,13,9,0,11,0,0,1,0,0,0,0,4,0,4,0,22,2,0,4,14,2,4,4,0,0,0,0,0,0,0,6,35,0,0,12
"Ant191",0,0,0,0,0,0,6,0,2,1,0,1,0,3,0,0,1,0,0,0,12,15,0,0,5,0,0,3,2,16,1,0,0,6,14,1,40,0,0,31,1,3,0,0,3,0,0,2,11,1,0,14,6,7,0,8,0,3,3,1,0,0,0,3,8,0,0,10
"Ant196",14,19,0,0,12,80,0,9,7,0,13,0,13,0,0,0,5,2,11,18,0,1,10,1,0,9,4,0,1,2,7,8,10,0,0,14,0,1,17,0,5,5,26,29,4,11,1,8,0,5,15,0,0,5,25,0,38,1,5,5,16,8,0,0,0,8,31,0
"Ant252",0,3,2,0,5,9,3,1,9,6,13,5,12,0,1,5,0,4,5,8,0,6,1,8,1,1,7,1,5,6,1,8,16,5,4,5,5,0,5,4,4,4,10,11,10,1,4,2,0,3,2,1,1,0,11,0,20,0,17,12,16,12,1,0,0,6,15,0
"Ant308",0,1,20,7,3,0,2,0,10,7,2,17,0,7,0,2,4,0,1,3,0,4,2,2,3,0,8,3,8,8,6,6,0,6,3,4,0,0,0,1,1,13,4,4,11,1,10,4,6,7,2,6,7,10,1,0,1,16,6,0,2,0,3,2,1,3,4,0
"Ant518",3,1,0,0,6,11,2,8,3,0,1,0,8,0,0,11,5,1,0,3,0,0,3,0,0,8,0,2,1,0,2,5,7,0,0,6,0,0,1,0,6,1,10,5,2,6,0,7,0,2,2,0,0,0,3,0,16,3,0,3,18,2,0,0,0,4,13,0
"Ant0",4,10,4,0,8,43,1,5,9,1,12,3,6,0,0,18,8,3,3,0,0,2,5,7,0,1,23,2,8,3,5,2,23,0,1,16,0,0,3,0,21,0,4,38,23,6,1,4,0,2,12,0,0,4,10,0,28,5,0,8,42,8,1,0,0,10,16,0
"Ant13",0,2,2,5,0,0,4,0,4,0,0,8,0,8,12,0,0,0,0,0,0,8,0,1,10,0,1,9,1,23,3,4,0,4,5,0,2,0,0,36,1,3,0,0,0,2,7,0,7,2,0,2,2,8,0,0,3,7,4,4,0,1,1,4,10,0,0,0
"Ant23",0,5,13,0,3,0,7,0,21,10,3,6,0,11,15,1,6,4,0,2,8,0,0,3,10,0,1,3,14,6,1,6,6,7,15,3,1,0,0,6,3,5,1,0,15,1,9,0,1,6,0,1,2,8,2,0,4,8,3,9,3,2,7,3,7,0,6,2
"Ant27",4,15,0,0,5,2,5,6,0,7,5,0,3,0,0,10,1,2,3,5,0,0,0,1,3,3,0,0,4,2,1,9,7,0,0,8,0,0,4,0,0,0,1,20,2,4,0,3,0,5,1,0,0,0,9,0,16,0,4,2,1,2,3,1,0,7,6,0
"Ant32",0,3,3,0,2,0,8,2,2,0,4,2,1,0,0,1,8,2,0,7,1,3,1,0,0,0,12,1,6,1,0,6,5,2,2,7,0,0,1,4,2,0,1,9,20,1,0,0,0,0,0,0,0,0,0,0,4,15,4,2,3,10,2,0,0,8,21,0
"Ant43",0,5,9,3,0,0,1,0,4,4,0,2,0,19,5,0,1,3,0,0,10,10,3,0,0,0,0,1,6,4,1,1,2,5,18,0,1,0,0,7,0,19,0,2,2,0,3,0,9,3,0,1,12,4,0,5,1,4,1,4,0,0,2,16,4,0,0,3
"Ant44",0,2,0,0,3,14,0,1,0,0,2,0,6,0,0,9,1,0,8,1,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,7,0,2,0,5,0,2,1,0,0,0,4,0,16,0,0,0,0,1,0,0,0,2,0,0
"Ant50",0,8,0,2,2,0,4,1,2,0,1,3,0,2,0,4,7,8,0,23,1,1,0,12,0,0,0,0,10,3,1,14,1,6,1,14,0,0,0,0,12,2,3,23,1,11,2,1,0,0,5,2,2,2,1,0,3,6,16,3,4,2,2,0,2,10,14,0
"Ant97",0,1,9,29,1,0,3,3,6,6,0,12,0,17,3,0,1,3,2,2,9,3,0,1,1,0,0,0,3,12,1,0,0,6,18,0,22,0,0,9,4,4,0,0,1,2,9,0,9,4,0,27,22,3,0,36,0,8,3,4,1,1,1,19,28,2,0,18
"Ant109",0,7,7,1,7,0,11,0,11,2,3,16,1,1,2,1,5,8,1,8,1,14,4,6,6,0,10,3,0,16,4,11,6,4,4,4,2,0,5,7,9,9,5,5,11,3,6,0,6,14,0,2,2,21,1,0,7,4,15,10,4,8,2,1,2,7,3,1
"Ant115",0,1,18,20,3,0,2,2,7,4,1,7,1,7,16,2,6,8,0,3,23,6,2,1,4,0,3,12,16,0,2,2,4,19,44,1,15,0,0,38,7,4,3,1,9,2,18,0,13,7,1,7,8,8,0,7,1,37,18,3,0,3,1,2,20,1,1,1
"Ant117",2,10,12,1,2,1,0,0,10,0,0,25,2,0,1,7,1,6,2,5,3,1,1,0,1,0,1,1,4,2,0,10,7,2,0,5,0,3,1,0,0,2,6,3,14,3,0,2,0,9,0,0,3,1,4,0,10,2,6,6,1,0,0,0,0,4,2,0
"Ant124",0,10,5,0,11,0,9,13,23,2,4,2,4,0,0,8,8,6,5,2,4,6,9,6,1,0,14,0,11,2,10,0,15,2,5,3,0,0,0,3,13,9,13,15,9,2,3,3,0,8,6,0,0,6,0,0,6,10,9,11,3,7,6,1,0,6,11,0
"Ant127",13,16,2,0,16,43,2,14,23,0,9,0,9,0,0,10,16,0,7,23,0,6,7,5,2,10,1,0,6,4,7,15,0,1,0,17,0,10,21,0,2,8,10,13,10,6,1,14,1,8,12,0,0,3,12,0,30,1,3,20,44,17,2,0,2,17,21,0
"Ant131",0,6,3,1,0,0,8,0,1,6,0,17,0,13,6,0,5,6,0,0,4,7,0,2,5,0,6,6,4,19,2,2,1,0,9,1,3,0,0,7,0,6,0,1,10,0,7,0,2,1,0,3,13,15,0,0,0,30,2,3,3,1,1,6,3,0,0,5
"Ant137",0,3,3,2,2,0,4,2,5,9,1,2,0,9,14,0,4,3,0,1,5,15,0,2,18,0,1,18,4,44,0,5,0,9,0,1,12,0,0,4,3,5,0,1,3,2,2,0,6,4,3,9,17,7,0,16,3,5,2,1,3,3,0,11,7,0,2,9
"Ant149",27,23,0,0,6,5,1,3,1,0,3,0,0,0,1,14,5,4,6,16,0,3,8,7,0,0,14,0,4,1,5,3,17,1,1,0,0,0,3,0,3,0,5,21,16,8,0,10,0,1,9,3,0,0,4,0,12,0,2,7,9,3,8,0,0,17,21,0
"Ant159",0,4,1,1,0,0,2,0,0,4,0,0,0,11,40,0,5,0,0,0,2,1,0,0,1,0,0,22,2,15,0,0,0,3,12,0,0,0,0,11,1,0,0,0,2,0,1,0,15,2,0,10,2,2,0,17,0,0,0,3,0,0,0,0,34,0,0,4
"Ant169",0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,2,0,0,0,1,2,0,1,0,2,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
"Ant176",6,29,5,0,1,8,1,6,0,0,2,0,9,0,0,17,5,0,1,3,0,0,4,1,0,0,0,0,5,0,1,0,21,0,0,3,0,2,0,0,0,0,17,10,0,7,0,4,0,2,1,0,0,0,17,0,22,0,0,1,0,5,0,0,0,4,9,0
"Ant178",0,1,1,8,0,0,5,0,1,3,1,4,0,1,31,0,4,1,0,0,36,6,0,4,7,0,0,9,7,38,0,3,0,7,4,0,11,0,0,0,1,1,3,3,6,0,2,0,3,6,0,5,0,5,0,14,1,0,9,2,0,1,4,0,3,1,2,0
"Ant186",0,12,6,0,18,0,13,1,13,0,12,2,3,0,1,5,4,1,6,21,1,3,0,2,0,0,12,4,9,7,0,13,2,0,3,3,1,0,0,1,0,2,20,20,12,5,3,2,0,4,2,1,0,1,12,0,11,8,3,5,8,2,2,0,1,4,13,0
"Ant190",0,2,8,1,0,0,8,0,13,9,0,10,3,0,3,5,4,13,1,0,3,5,0,0,19,0,2,4,9,4,2,9,8,6,5,0,0,0,0,1,2,0,0,4,11,2,11,0,0,13,6,1,7,5,0,0,4,14,5,17,0,0,1,1,1,0,0,0
"Ant198",4,17,3,0,9,19,3,5,12,0,8,0,17,0,0,26,10,4,10,4,0,1,1,1,0,3,3,0,5,3,6,13,10,0,0,5,0,1,17,3,20,0,0,20,18,13,0,15,0,1,13,0,0,0,5,0,17,10,1,13,2,16,1,0,0,17,11,0
"Ant207",3,29,6,0,19,27,4,27,9,2,34,1,9,0,0,29,11,4,5,38,0,0,20,9,2,7,23,0,5,1,3,15,13,1,1,21,0,2,10,3,20,4,20,0,35,25,0,4,0,13,14,0,0,0,9,0,25,4,14,6,15,18,2,0,0,8,27,0
"Ant215",0,12,16,0,41,0,12,12,38,9,10,5,9,4,3,4,10,11,2,23,0,15,2,20,2,0,1,1,11,9,14,9,10,10,3,16,2,0,0,6,12,11,18,35,0,8,5,12,4,6,29,1,1,9,7,0,34,9,14,8,28,26,4,0,2,14,32,0
"Ant218",0,4,1,0,4,18,1,2,5,0,1,15,9,0,0,11,1,1,6,6,2,1,4,1,0,2,11,2,3,2,3,2,6,0,2,8,0,1,7,0,5,2,13,25,8,0,1,13,0,1,4,0,1,3,7,0,11,2,5,5,4,3,1,1,1,9,9,0
"Ant219",0,3,6,9,0,0,2,0,3,4,0,5,1,4,0,1,4,10,0,1,7,9,0,0,3,0,2,9,6,18,0,3,1,7,2,0,1,0,0,2,3,11,0,0,5,1,0,0,1,0,0,6,1,13,0,0,0,0,1,6,0,2,0,5,2,0,3,6
"Ant238",0,12,1,0,8,17,2,4,8,0,0,2,19,0,2,8,2,4,7,4,0,0,3,0,0,5,1,0,0,0,2,3,14,0,0,10,0,2,4,0,2,0,15,4,12,13,0,0,0,6,0,1,0,1,7,0,17,1,0,19,24,19,3,2,0,6,2,0
"Ant242",0,0,2,5,0,0,2,0,1,3,0,7,0,22,11,0,0,6,0,0,7,1,0,0,9,0,0,9,6,13,0,0,1,2,6,0,15,0,0,3,0,0,0,0,4,0,1,0,0,1,0,16,2,3,0,8,0,1,0,1,0,0,0,6,3,0,1,5
"Ant243",2,1,38,0,3,11,2,3,9,12,3,28,4,2,1,5,3,7,2,2,2,6,5,0,3,2,0,4,14,7,9,8,8,1,4,1,2,1,2,6,4,13,1,13,6,1,0,6,1,0,4,1,7,9,1,1,3,5,3,3,10,5,5,3,4,1,7,0
"Ant255",0,22,0,0,9,25,0,2,0,0,6,0,12,0,0,15,2,2,2,12,0,0,1,0,0,1,5,0,0,1,0,6,12,0,3,9,0,0,1,0,2,6,13,14,29,4,0,0,0,4,0,0,0,1,4,0,24,1,0,13,6,4,0,0,0,7,6,0
"Ant289",0,1,1,22,0,0,1,0,1,1,0,6,0,4,14,0,1,6,0,0,2,1,0,0,1,0,2,27,2,7,0,0,0,3,9,3,10,0,0,5,1,1,0,0,1,0,6,1,16,1,0,0,5,0,0,9,0,1,0,2,0,2,0,4,1,0,0,2
"Ant298",0,0,3,0,0,0,7,0,5,9,0,15,0,14,6,0,1,7,0,0,2,2,0,0,12,0,2,22,2,8,3,0,0,13,17,0,2,0,0,0,0,7,0,0,1,1,1,0,2,7,0,5,0,2,0,0,0,9,9,1,0,0,2,8,6,0,0,2
"Ant324",0,2,11,2,0,0,7,0,11,8,0,7,2,2,7,5,0,10,0,4,8,8,0,0,4,0,2,3,21,8,1,6,3,15,7,0,2,0,0,5,1,5,0,0,9,3,13,1,3,9,1,0,2,0,0,0,1,10,8,3,1,3,2,18,1,0,2,5
"Ant342",8,11,5,0,3,7,5,20,6,3,1,0,9,4,0,25,11,1,3,10,0,2,9,0,0,4,1,0,1,0,4,0,12,0,0,4,0,0,17,0,12,0,5,9,7,7,0,7,0,1,4,0,0,0,0,0,32,0,7,3,5,13,2,0,0,1,15,0
"Ant347",0,0,0,20,0,0,1,0,0,0,0,1,0,4,8,0,0,0,0,0,0,0,0,0,5,0,0,36,0,7,0,0,0,0,16,0,17,0,0,14,0,0,0,0,0,0,0,0,8,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,10
"Ant380",14,12,7,0,20,110,2,18,24,1,6,1,9,0,0,38,20,1,16,28,3,4,16,4,1,16,3,0,7,1,10,6,30,0,3,12,0,3,22,1,11,4,17,25,34,11,0,17,0,3,24,0,0,1,32,0,0,2,21,12,36,26,0,1,0,12,28,0
"Ant390",0,9,3,4,1,0,37,5,17,2,2,4,1,0,3,1,0,16,3,5,7,8,0,15,4,0,6,8,4,37,2,10,1,30,5,0,0,0,0,0,8,14,10,4,9,2,0,1,1,5,1,1,9,10,0,0,2,0,14,2,3,5,8,9,6,3,4,0
"Ant394",0,19,6,1,8,0,4,0,7,7,2,3,0,0,3,5,17,6,0,0,4,3,4,4,1,0,16,3,15,18,6,9,3,2,2,2,0,0,0,9,3,5,1,14,14,5,1,0,0,3,0,0,9,8,7,0,21,14,0,1,0,3,5,1,3,13,1,0
"Ant395",2,6,7,1,11,10,3,1,16,1,6,2,12,0,1,5,12,0,3,8,4,9,2,2,4,0,3,4,10,3,6,11,20,3,1,7,3,1,1,2,5,17,13,6,8,5,6,19,1,3,13,2,1,3,3,0,12,2,1,0,25,6,0,0,0,7,10,0
"Ant458",0,9,2,0,49,0,1,2,7,0,10,1,13,0,0,16,16,2,18,42,0,3,1,3,0,0,4,1,4,0,1,3,44,3,3,9,0,0,0,0,8,0,2,15,28,4,0,24,0,10,6,0,0,1,5,0,36,3,0,25,0,20,2,0,0,25,42,0
"Ant475",1,16,11,0,12,1,1,2,21,0,5,0,3,0,0,8,12,0,2,8,1,2,2,10,0,1,2,1,8,3,0,7,17,1,3,3,0,0,5,1,2,0,16,18,26,3,2,19,0,5,4,2,0,3,13,0,26,5,3,6,20,0,0,0,0,4,24,0
"Ant482",0,1,2,5,2,0,1,0,2,2,0,2,0,0,0,0,1,3,0,1,1,7,3,2,2,0,2,1,2,1,0,6,2,1,0,8,0,0,0,4,2,1,1,2,4,1,0,3,0,5,0,0,2,2,2,0,0,8,5,0,2,0,0,0,0,2,2,0
"Ant492",0,0,5,3,0,0,4,0,1,3,1,4,0,6,3,0,0,2,0,0,4,3,1,0,16,0,0,19,1,2,0,1,0,6,11,0,0,0,0,0,0,1,0,0,0,1,5,2,6,3,0,4,8,18,0,1,1,9,1,0,0,0,0,0,2,0,0,2
"Ant501",0,3,4,0,0,0,6,0,1,1,0,1,0,35,8,0,0,1,0,0,10,7,0,0,4,0,2,28,2,20,0,0,2,3,7,0,34,0,0,3,1,1,0,0,2,1,2,0,3,4,0,1,6,1,0,24,0,6,3,0,0,0,0,2,0,0,0,0
"Ant538",2,4,1,0,3,11,4,6,13,0,27,0,4,0,0,8,6,3,4,10,0,0,7,8,0,2,10,2,7,1,4,6,17,0,0,17,0,0,4,1,4,0,17,8,14,9,0,6,0,1,7,0,0,0,1,0,12,3,13,7,25,4,2,0,0,0,22,0
"Ant560",0,18,2,0,26,0,10,4,19,0,19,1,8,0,0,31,15,4,13,16,0,6,6,21,0,0,14,0,3,1,2,11,21,0,2,21,0,0,9,2,13,0,11,27,32,9,3,2,1,7,6,0,0,2,15,0,28,4,1,10,42,24,2,0,0,22,0,0
"Ant564",0,0,3,16,0,0,0,0,1,3,0,2,0,12,10,0,0,0,0,0,0,2,0,0,3,0,0,18,1,1,0,0,0,5,9,0,4,0,0,0,0,0,0,0,0,0,6,0,5,0,0,2,2,5,0,10,0,0,0,0,0,0,0,2,0,0,0,0
