"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant158","Ant191","Ant196","Ant252","Ant308","Ant518","Ant0","Ant13","Ant23","Ant27","Ant32","Ant43","Ant44","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant149","Ant159","Ant169","Ant176","Ant178","Ant186","Ant190","Ant198","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant289","Ant298","Ant324","Ant342","Ant347","Ant380","Ant390","Ant394","Ant395","Ant458","Ant475","Ant482","Ant492","Ant501","Ant538","Ant560","Ant564"
"Ant43",0,9,9,4,5,0,30,0,5,11,0,2,0,26,8,1,3,45,0,1,2,6,1,2,0,1,0,32,8,6,1,6,3,5,3,2,8,0,0,9,8,2,2,0,10,0,7,0,7,18,2,10,6,4,3,6,0,2,2,1,3,1,13,9,12,0,6,2
"Ant44",0,9,1,0,6,0,1,1,15,0,3,3,3,1,3,3,0,2,0,17,1,0,5,0,1,0,5,0,3,1,3,1,8,0,2,2,1,3,0,0,6,4,4,1,27,0,1,0,0,1,4,0,1,0,13,0,12,0,16,6,11,7,1,0,0,7,2,0
"Ant50",0,3,1,1,5,0,1,3,1,4,6,0,1,14,0,9,0,9,1,2,4,0,9,1,0,5,0,3,3,1,3,4,10,0,1,7,0,1,0,3,4,0,0,2,10,2,1,3,1,3,0,0,0,3,12,0,8,0,6,2,3,3,3,0,0,11,2,0
"Ant97",0,11,16,8,0,0,6,0,2,12,0,72,0,24,19,1,0,4,0,0,2,8,0,2,32,0,3,0,10,14,8,3,1,9,13,0,23,1,0,18,11,8,0,0,8,3,59,0,25,16,3,6,19,13,0,19,1,19,7,1,2,1,6,35,21,0,14,39
"Ant109",0,9,9,10,5,0,5,4,0,17,0,1,0,15,8,4,4,20,0,4,1,4,5,1,8,3,3,10,0,1,2,3,1,2,2,8,0,0,0,4,2,10,1,0,2,2,1,0,3,6,1,1,4,8,5,0,2,2,1,2,0,1,8,3,2,4,0,0
"Ant115",0,2,3,12,3,0,6,0,1,3,0,16,1,37,4,0,1,6,0,1,5,8,1,0,6,1,1,14,1,0,1,3,0,4,11,2,17,0,0,10,3,3,0,0,4,0,5,0,1,2,2,3,3,14,0,20,0,11,16,0,0,0,2,17,3,1,1,13
"Ant117",5,10,15,0,11,1,1,7,9,0,5,2,10,0,2,6,13,3,0,8,0,2,1,0,1,3,3,8,2,1,0,2,5,0,2,7,1,2,6,2,5,3,13,4,11,8,2,5,1,10,4,0,4,1,12,1,9,4,7,2,8,11,0,0,0,5,28,0
"Ant124",0,4,5,3,0,0,7,1,1,5,0,1,0,25,7,1,2,3,0,12,5,3,0,1,6,1,4,3,3,3,2,0,1,3,2,4,4,0,0,0,1,9,0,1,7,2,3,1,0,1,3,4,3,12,0,0,0,9,2,3,0,0,4,6,1,2,5,2
"Ant127",9,12,1,0,10,5,1,6,20,0,2,5,10,0,0,11,11,0,6,14,0,0,1,3,3,8,10,1,1,0,5,1,0,0,2,4,0,8,6,2,2,0,10,25,22,5,2,0,0,3,0,0,1,1,6,1,16,0,0,4,6,9,0,0,0,9,8,0
"Ant131",0,1,2,0,0,0,12,0,0,8,0,10,2,11,3,0,0,0,0,1,3,5,1,1,5,0,0,9,2,4,0,3,0,0,9,0,8,0,0,11,1,2,0,0,2,0,10,1,10,1,0,8,14,4,0,4,0,8,4,1,0,0,0,1,4,2,1,10
"Ant137",0,4,1,16,1,0,11,2,3,11,0,2,1,11,9,0,3,2,0,1,4,4,0,0,3,2,1,13,2,11,2,2,2,9,0,1,5,0,0,25,3,2,2,0,3,0,13,0,33,2,0,4,4,1,1,43,2,1,6,2,5,3,2,4,11,0,3,10
"Ant149",0,4,4,0,3,0,2,8,6,0,7,0,2,7,0,14,0,1,13,13,1,0,5,4,2,2,7,0,8,2,7,4,4,0,1,0,0,4,0,1,1,3,8,2,7,3,0,2,0,0,23,0,1,0,4,0,27,0,0,2,0,17,4,0,0,15,8,0
"Ant159",0,1,1,13,0,0,1,0,0,9,0,16,0,8,1,0,2,0,0,0,5,8,0,0,8,1,0,23,0,17,1,4,0,8,5,0,0,0,0,23,1,0,0,0,2,0,6,0,16,1,0,0,2,3,0,9,0,4,1,1,0,0,0,3,3,0,0,18
"Ant169",7,13,1,0,1,15,1,3,0,2,4,0,3,0,0,4,4,0,6,10,0,0,0,0,0,3,1,1,0,0,2,0,8,0,0,4,0,0,15,0,0,1,5,7,5,4,0,4,0,0,1,0,2,0,10,0,0,0,4,1,5,0,1,0,0,1,0,0
"Ant176",6,12,0,0,0,13,0,9,0,0,21,0,14,0,0,4,9,0,11,12,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,15,0,0,0,0,16,16,0,8,0,10,0,0,0,0,0,0,13,0,6,0,0,5,0,0,0,0,0,0,0,0
"Ant178",0,0,0,4,0,0,2,0,1,17,0,1,0,16,22,0,0,3,0,0,7,8,1,0,9,0,3,18,4,10,2,0,2,11,25,1,23,0,0,0,3,0,0,0,1,0,3,0,10,3,0,0,2,1,1,12,1,3,7,1,5,1,0,1,0,0,0,3
"Ant186",0,7,9,0,2,0,2,3,1,3,0,0,3,1,0,5,0,8,0,6,8,7,3,6,8,6,4,11,2,3,5,1,2,1,3,1,1,0,0,3,0,1,2,0,5,0,1,3,0,5,0,0,10,3,11,0,5,1,1,3,6,7,1,0,1,11,21,2
"Ant190",0,4,8,1,5,0,6,0,3,6,0,0,4,11,6,7,4,1,0,6,2,0,4,4,2,4,0,8,10,3,3,9,0,2,2,3,0,1,0,0,1,0,8,2,6,2,0,1,2,5,0,0,2,2,2,0,14,8,1,0,2,0,10,0,0,18,4,0
"Ant198",6,15,15,1,13,11,0,15,7,0,9,0,30,0,3,32,6,0,14,38,1,0,2,5,2,4,0,0,1,0,13,0,10,0,2,8,0,5,16,0,2,8,0,19,6,7,0,24,1,2,2,0,2,0,18,0,22,1,1,15,13,6,3,0,0,17,0,0
"Ant207",2,23,0,0,5,67,0,9,13,0,2,0,11,0,1,9,15,2,11,21,1,1,3,1,0,1,2,0,0,0,4,1,25,0,0,2,0,7,16,0,0,2,19,0,6,11,0,5,0,2,0,0,0,0,39,0,6,1,5,4,6,1,1,0,0,6,3,0
"Ant215",0,10,7,2,28,0,7,1,58,2,6,0,7,10,7,7,10,5,4,42,1,40,3,7,10,27,10,8,2,4,11,7,22,2,3,7,2,5,0,1,5,6,6,6,0,5,12,12,4,5,3,0,8,7,33,5,37,0,4,1,17,19,6,1,4,8,2,9
"Ant218",3,9,0,0,6,7,0,7,11,0,1,0,5,0,0,8,5,0,6,23,0,3,1,3,0,0,2,3,2,0,8,2,5,0,0,3,0,4,8,0,0,2,7,11,5,0,1,4,0,2,1,0,0,0,12,0,4,0,0,3,10,12,2,0,0,2,0,0
"Ant219",0,2,4,6,0,0,3,0,0,3,0,24,0,5,6,1,0,1,0,0,4,1,0,1,7,1,1,59,1,5,2,3,2,10,13,0,6,0,0,3,1,0,0,0,12,1,0,0,12,3,0,5,2,7,0,6,0,1,7,0,1,2,4,7,9,0,1,4
"Ant238",1,5,4,0,1,0,0,2,8,0,6,0,10,0,0,11,3,1,9,18,0,0,2,0,0,0,3,0,0,0,5,1,0,1,0,2,0,4,10,0,3,1,24,5,12,4,0,0,0,0,0,0,0,3,32,1,13,0,0,5,4,13,0,0,0,9,0,2
"Ant242",0,0,5,12,0,0,0,0,1,7,0,26,0,6,0,2,2,1,0,1,2,4,2,0,7,0,1,25,3,1,1,0,0,10,33,0,16,0,0,10,0,2,1,0,4,0,12,0,0,2,0,12,6,2,1,17,0,3,2,0,1,0,2,10,17,0,0,24
"Ant243",0,11,23,3,3,0,0,0,2,7,1,3,5,5,3,7,4,7,0,3,3,5,0,2,18,1,3,16,6,2,10,1,3,1,2,0,1,0,0,3,5,5,2,2,5,2,3,0,2,0,3,0,12,2,7,0,6,1,0,0,2,7,16,2,1,4,38,1
"Ant255",0,3,10,0,7,0,1,0,3,2,3,0,1,4,0,4,0,9,1,8,0,0,0,4,2,4,0,3,1,2,4,3,0,0,0,23,0,1,0,0,0,0,2,0,3,1,0,0,0,3,0,1,5,3,2,0,2,0,6,1,2,3,2,1,1,4,12,0
"Ant289",0,2,0,1,0,0,0,0,0,7,0,23,0,9,2,0,1,0,0,0,1,0,0,1,10,0,0,6,1,3,0,4,0,8,4,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0,1,0,1,1,0,0,0,1,1,0,0,0,0,14,1,0,0,0
"Ant298",0,3,17,3,0,0,1,0,3,2,0,0,0,10,1,0,2,1,0,0,3,8,0,0,6,1,0,19,4,3,4,3,1,14,4,1,2,2,0,2,10,2,2,0,8,0,2,0,6,12,5,1,0,8,1,0,3,2,3,3,0,1,2,9,3,0,7,14
"Ant324",0,10,4,0,0,0,1,0,1,11,0,2,0,2,6,1,1,4,0,0,16,7,0,4,4,0,3,13,8,14,1,12,1,4,1,0,3,0,0,1,3,2,0,0,7,0,7,3,2,2,3,1,8,0,4,6,1,8,11,1,9,2,6,6,7,2,6,4
"Ant342",13,15,3,0,14,13,2,12,33,2,15,0,15,0,1,6,14,0,9,22,1,3,11,1,3,13,12,0,5,0,12,0,6,0,1,4,0,10,13,1,11,2,18,39,33,12,0,32,1,7,2,0,1,4,0,0,25,0,0,14,9,5,2,2,0,11,2,0
"Ant347",0,0,0,14,0,0,3,0,1,5,0,21,0,7,0,0,1,0,1,1,0,10,0,0,6,0,0,19,0,20,1,0,1,4,43,0,9,0,0,12,0,0,0,0,5,0,6,1,17,0,0,0,0,6,0,0,0,1,2,0,0,0,0,7,14,0,0,12
"Ant380",3,1,6,1,21,3,1,17,34,0,8,0,8,3,1,7,5,0,4,20,2,0,7,0,0,12,8,1,2,0,9,0,16,0,2,27,0,0,6,1,5,14,22,6,37,4,0,13,0,6,2,0,3,1,25,0,0,0,3,7,9,19,2,0,1,12,1,0
"Ant390",0,1,6,7,0,0,8,0,0,10,0,6,0,13,6,0,0,10,0,2,8,3,0,1,2,0,0,19,2,11,4,9,0,8,1,0,4,0,0,3,1,8,1,1,0,0,1,0,3,1,0,1,2,8,0,1,0,0,17,0,0,0,1,10,2,1,7,3
"Ant394",0,8,4,4,7,0,0,0,0,4,1,1,0,6,0,9,0,3,0,4,6,2,2,2,2,16,6,7,1,16,7,2,0,4,6,0,1,4,0,7,1,1,1,5,4,0,7,0,2,0,6,1,3,11,0,2,3,17,0,1,0,0,2,4,3,8,1,3
"Ant395",0,12,1,3,7,4,3,9,3,1,1,0,1,1,1,19,5,2,3,9,2,0,4,4,1,6,2,1,2,0,2,3,4,1,2,2,1,1,5,1,3,0,15,4,1,3,0,5,0,0,1,0,3,1,14,0,7,0,1,0,9,3,4,1,1,17,2,1
"Ant458",0,16,10,0,7,0,0,1,17,1,4,0,5,1,2,16,7,3,5,38,1,0,0,0,3,11,3,2,0,0,8,0,6,0,5,0,0,5,0,5,6,2,13,6,17,10,1,4,1,2,2,0,0,9,9,0,9,0,0,9,0,14,0,5,1,28,1,2
"Ant475",0,8,6,0,10,0,1,9,5,0,4,1,1,0,4,9,4,2,8,15,0,0,3,6,1,7,3,1,1,0,11,0,9,0,3,17,0,0,0,1,7,0,6,1,19,12,2,13,0,7,3,0,1,2,5,0,19,0,0,3,14,0,5,0,0,18,4,0
"Ant482",0,2,7,2,2,0,7,4,1,6,0,0,0,3,4,0,0,8,0,3,0,2,1,2,13,1,3,6,8,2,0,4,0,0,2,4,0,1,0,0,1,10,3,1,6,2,4,0,2,16,2,0,2,6,2,0,2,1,2,4,0,5,0,0,1,4,0,1
"Ant492",0,0,1,27,0,0,3,0,1,5,0,48,0,6,1,0,2,4,0,0,1,7,0,1,9,0,0,35,3,17,0,6,0,1,4,0,3,0,0,1,0,0,0,0,1,0,7,0,10,2,1,14,9,6,2,7,0,10,4,1,5,0,0,0,6,1,2,9
"Ant501",0,0,1,10,4,0,1,0,0,7,0,19,0,2,14,0,0,2,0,2,11,12,3,2,12,0,0,21,2,3,0,1,0,4,11,0,3,0,0,0,1,0,0,0,4,0,9,0,17,1,1,1,3,7,0,14,1,2,3,1,1,0,1,6,0,1,1,8
"Ant538",0,6,3,2,10,0,3,4,25,2,17,0,2,0,2,20,2,13,2,12,0,1,7,0,0,7,11,0,4,1,5,2,9,2,0,15,0,1,0,0,11,18,17,6,8,2,0,9,0,4,4,0,0,2,11,0,12,1,8,17,28,18,4,1,1,0,4,0
"Ant560",0,17,20,0,1,0,5,0,3,2,0,1,1,7,0,8,3,2,0,5,3,0,13,1,6,2,2,14,0,1,28,5,8,1,3,8,0,0,0,0,21,4,0,3,2,0,1,0,0,38,12,0,7,6,2,0,1,7,1,2,1,4,0,2,1,4,0,2
"Ant564",0,1,0,0,0,0,4,0,0,4,0,20,0,4,3,0,0,1,1,0,3,10,0,0,2,0,0,39,0,13,0,2,0,10,10,0,18,0,0,3,2,0,0,0,9,0,4,2,24,1,0,0,14,4,0,12,0,3,3,1,2,0,1,9,8,0,2,0
