"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant158","Ant191","Ant196","Ant252","Ant308","Ant518","Ant0","Ant13","Ant23","Ant27","Ant32","Ant43","Ant44","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant149","Ant159","Ant169","Ant176","Ant178","Ant186","Ant190","Ant198","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant289","Ant298","Ant324","Ant342","Ant347","Ant380","Ant390","Ant394","Ant395","Ant458","Ant475","Ant482","Ant492","Ant501","Ant538","Ant560","Ant564"
"Ant109",0,1,6,1,5,0,2,4,4,10,5,4,8,0,3,13,2,10,0,1,10,2,0,0,7,0,5,6,0,3,0,5,12,2,4,5,1,0,4,2,5,5,9,4,9,6,3,3,2,4,6,2,2,8,3,4,3,3,10,4,3,3,3,1,6,0,9,0
"Ant115",0,0,6,27,2,0,11,0,5,10,4,11,0,25,6,0,0,16,0,3,6,14,0,1,31,0,2,8,3,0,1,13,2,4,8,0,6,2,0,17,1,5,1,1,7,4,20,0,12,5,2,2,5,9,1,7,3,26,8,2,0,6,5,5,21,1,7,7
"Ant117",0,15,2,0,3,12,0,2,5,1,6,0,3,0,0,4,0,0,5,3,0,0,1,0,1,3,0,0,0,1,0,0,3,0,0,2,0,4,1,0,1,2,7,3,2,2,0,6,2,2,0,0,1,1,3,0,8,1,4,7,4,3,1,0,0,3,0,0
"Ant124",0,1,24,1,1,0,3,1,0,14,1,2,0,1,1,4,0,6,6,0,2,11,0,5,2,0,1,3,5,13,0,0,4,3,1,0,0,0,0,0,2,3,1,1,6,1,7,0,5,7,1,0,2,15,0,0,0,5,18,1,1,4,8,3,6,0,5,1
"Ant127",4,19,11,0,9,13,5,2,13,8,17,1,18,4,1,7,11,5,11,27,3,1,2,7,1,3,13,0,12,2,3,4,0,1,0,12,0,11,7,0,10,6,10,30,19,21,3,11,0,2,15,0,3,6,15,0,17,0,4,12,35,22,3,0,1,23,29,1
"Ant131",0,0,10,6,0,0,11,1,1,5,1,13,1,19,5,0,1,5,0,1,2,2,0,0,14,0,2,27,2,4,0,3,1,0,41,0,10,0,0,8,2,10,0,1,4,1,8,0,26,3,0,10,7,12,2,10,0,14,5,0,0,0,2,3,3,0,2,15
"Ant137",0,0,0,11,0,0,3,0,0,7,0,23,0,23,0,0,0,14,0,0,13,3,0,0,1,0,0,27,4,8,0,1,0,41,0,0,8,0,0,11,1,3,0,0,3,0,1,1,15,0,0,31,0,1,1,9,0,13,2,0,1,3,1,31,9,0,0,15
"Ant149",0,1,2,0,7,0,2,1,10,2,26,0,5,1,0,5,2,1,4,18,0,1,0,2,0,0,11,0,5,0,2,0,12,0,0,0,0,1,0,0,10,2,3,13,3,6,0,2,0,0,7,0,0,3,11,0,19,3,2,3,18,14,0,0,3,2,2,0
"Ant159",0,0,0,22,0,0,1,0,0,12,0,2,0,3,13,0,0,7,0,0,10,6,0,0,14,0,0,20,1,6,0,0,0,10,8,0,0,0,0,7,3,0,0,0,0,1,8,0,33,2,0,13,1,3,0,6,0,3,0,0,0,0,0,23,1,0,0,18
"Ant169",17,2,1,0,1,18,0,0,9,2,10,0,4,0,0,5,1,1,1,9,2,3,1,1,2,1,4,0,0,2,4,0,11,0,0,1,0,0,7,0,1,2,4,7,3,5,1,4,0,1,8,0,0,0,5,0,11,0,0,0,5,9,0,0,0,2,1,0
"Ant176",1,16,0,0,5,8,0,12,7,1,22,0,9,0,0,9,7,0,9,20,1,0,3,1,0,5,8,0,4,0,1,0,7,0,0,0,0,7,0,0,3,0,19,8,0,9,0,18,0,0,6,0,0,0,15,0,16,0,0,5,2,4,3,0,0,1,0,0
"Ant178",0,0,1,20,0,0,0,0,1,3,0,5,1,12,12,0,0,2,0,0,7,6,0,0,12,0,0,18,2,17,0,0,0,8,11,0,7,0,0,0,1,3,0,1,1,0,2,0,8,1,1,4,2,5,1,11,0,2,2,0,1,0,2,9,3,0,0,21
"Ant186",0,9,3,1,8,0,5,4,4,3,23,0,11,0,0,6,1,3,5,15,1,8,2,0,1,0,9,3,5,1,1,2,10,2,1,10,3,1,3,1,0,0,6,19,6,7,2,9,3,4,11,0,2,3,5,1,7,1,6,0,2,6,2,2,0,4,16,0
"Ant190",0,0,1,2,3,0,3,0,0,9,5,0,3,3,3,1,0,1,0,2,2,6,0,0,0,0,6,4,5,5,2,3,6,10,3,2,0,2,0,3,0,0,21,11,7,0,1,2,1,6,2,0,0,4,6,0,6,4,9,4,9,6,0,1,3,3,2,0
"Ant198",8,25,2,1,1,8,2,18,10,1,16,0,11,2,1,6,8,1,10,6,0,0,1,6,1,19,1,0,9,1,7,1,10,0,0,3,0,4,19,0,6,21,0,11,7,10,0,4,0,1,11,0,9,2,9,0,19,0,1,6,6,5,0,0,2,17,8,0
"Ant207",3,37,5,1,16,20,0,4,39,3,18,0,8,5,1,9,8,3,11,46,0,0,2,6,0,0,13,3,4,1,3,1,30,1,0,13,0,7,8,1,19,11,11,0,5,147,0,8,0,7,9,0,2,5,8,0,19,3,8,8,22,32,5,0,1,31,10,0
"Ant215",0,15,1,1,12,0,2,0,16,3,13,1,6,2,1,12,4,2,0,10,3,1,0,4,2,0,7,5,9,7,2,6,19,4,3,3,0,3,0,1,6,7,7,5,0,16,5,4,5,10,3,0,1,4,2,3,14,0,6,10,1,5,6,3,4,6,26,0
"Ant218",2,5,9,0,18,7,5,3,15,3,10,6,11,1,3,6,1,7,3,26,2,1,3,14,4,4,8,2,6,4,2,1,21,1,0,6,1,5,9,0,7,0,10,147,16,0,0,7,3,5,6,0,5,10,20,0,9,5,5,15,18,13,10,1,0,8,27,0
"Ant219",0,0,16,4,1,0,4,0,0,4,1,11,0,10,8,1,0,2,0,1,8,12,0,1,25,0,2,14,3,20,0,7,3,8,1,0,8,1,0,2,2,1,0,0,5,0,0,2,7,3,0,7,9,16,5,19,0,9,14,2,0,0,3,21,5,0,0,6
"Ant238",4,19,3,0,7,22,1,6,2,1,16,0,6,1,0,4,19,0,4,15,1,0,4,0,0,1,4,0,3,0,6,0,11,0,1,2,0,4,18,0,9,2,4,8,4,7,2,0,0,3,1,0,0,0,7,0,6,0,0,3,17,7,0,0,0,11,6,0
"Ant242",0,0,3,12,1,0,3,0,2,7,2,6,1,14,10,0,1,5,0,0,4,4,0,0,6,0,0,31,2,12,2,5,0,26,15,0,33,0,0,8,3,1,0,0,5,3,7,0,0,2,0,8,0,12,0,14,1,1,1,0,1,1,2,21,12,0,1,10
"Ant243",0,0,42,3,1,0,5,0,0,1,1,7,3,6,2,1,0,2,0,3,11,3,1,1,3,0,0,8,4,5,2,7,2,3,0,0,2,1,0,1,4,6,1,7,10,5,3,3,2,0,0,0,1,4,5,2,1,6,9,4,3,3,2,3,2,2,7,2
"Ant255",1,3,0,0,9,0,1,6,9,0,8,0,6,0,0,3,3,0,2,13,1,0,2,0,1,0,11,0,6,2,0,1,15,0,0,7,0,8,6,1,11,2,11,9,3,6,0,1,0,0,0,0,0,4,14,0,13,1,3,0,9,4,0,2,0,6,10,0
"Ant289",0,0,1,12,0,0,1,0,0,2,0,10,0,3,0,0,0,2,0,0,2,1,0,0,7,0,0,19,2,2,0,0,0,10,31,0,13,0,0,4,0,0,0,0,0,0,7,0,8,0,0,0,0,1,0,0,0,2,2,0,0,0,3,19,3,0,0,4
"Ant298",0,4,17,0,4,0,1,0,6,3,1,3,1,0,5,0,2,11,0,1,2,10,0,3,10,0,0,8,2,5,1,2,3,7,0,0,1,0,0,2,2,0,9,2,1,5,9,0,0,1,0,0,0,6,0,2,2,1,4,2,0,3,0,2,0,1,2,1
"Ant324",0,0,9,3,1,0,18,0,3,27,7,18,2,0,14,2,1,1,0,1,6,7,0,2,14,0,0,2,8,9,1,15,6,12,1,3,3,0,0,5,3,4,2,5,4,10,16,0,12,4,4,1,6,0,7,1,2,1,15,2,0,21,3,7,4,2,29,3
"Ant342",0,5,3,0,10,6,0,1,33,9,31,0,13,2,1,7,3,0,2,24,1,0,4,7,0,7,7,0,3,1,3,0,15,2,1,11,0,5,15,1,5,6,9,8,2,20,5,7,0,5,14,0,0,7,0,0,15,3,5,16,22,15,2,0,1,10,5,1
"Ant347",0,0,0,4,0,0,13,0,0,21,0,21,0,5,29,0,0,1,0,0,3,4,0,0,8,0,0,31,4,7,0,0,0,10,9,0,6,0,0,11,1,0,0,0,3,0,19,0,14,2,0,0,2,1,0,0,0,3,1,0,0,1,0,13,0,0,0,14
"Ant380",13,12,4,0,26,31,0,6,45,3,14,0,16,1,0,11,10,2,11,19,0,1,6,1,3,23,4,0,3,3,8,0,17,0,0,19,0,11,16,0,7,6,19,19,14,9,0,6,1,1,13,0,2,2,15,0,0,2,2,7,63,15,7,0,1,5,8,0
"Ant390",0,2,4,6,5,0,1,0,8,6,0,4,3,9,1,0,1,8,1,0,10,1,0,1,1,0,1,4,3,26,1,5,0,14,13,3,3,0,0,2,1,4,0,3,0,5,9,0,1,6,1,2,1,1,3,3,2,0,3,3,8,1,10,5,25,0,0,0
"Ant394",0,0,2,0,4,0,10,0,1,17,2,6,0,3,13,1,5,10,1,0,5,9,0,1,4,0,7,8,10,8,4,18,4,5,2,2,0,0,0,2,6,9,1,8,6,5,14,0,1,9,3,2,4,15,5,1,2,3,0,7,1,8,3,1,4,2,7,1
"Ant395",2,18,6,0,4,6,1,8,3,3,6,1,3,8,1,8,6,0,1,3,0,1,2,1,1,6,2,2,4,2,7,1,12,0,0,3,0,0,5,0,0,4,6,8,10,15,2,3,0,4,0,0,2,2,16,0,7,3,7,0,0,4,0,0,0,7,1,0
"Ant458",0,7,1,2,21,0,2,3,11,4,50,0,17,0,0,15,7,0,10,57,3,1,0,0,0,0,1,1,3,0,4,1,35,0,1,18,0,5,2,1,2,9,6,22,1,18,0,17,1,3,9,0,0,0,22,0,63,8,1,0,0,7,0,1,0,10,11,0
"Ant475",0,8,1,1,7,0,2,2,17,3,10,0,5,4,0,7,1,6,1,14,1,0,1,0,2,0,7,0,3,6,3,4,22,0,3,14,0,9,4,0,6,6,5,32,5,13,0,7,1,3,4,0,3,21,15,1,15,1,8,4,7,0,2,0,0,16,2,0
"Ant482",0,2,0,4,8,0,1,0,2,0,5,0,7,6,0,6,1,2,0,1,2,2,0,8,1,0,1,0,3,5,1,8,3,2,1,0,0,0,3,2,2,0,0,5,6,10,3,0,2,2,0,3,0,3,2,0,7,10,3,0,0,2,0,1,1,1,2,5
"Ant492",0,0,3,9,0,0,5,0,0,6,0,14,0,4,13,0,0,2,0,1,3,5,0,0,7,0,1,43,1,5,0,3,0,3,31,0,23,0,0,9,2,1,0,0,3,1,21,0,21,3,2,19,2,7,0,13,0,5,1,0,1,0,1,0,11,0,0,7
"Ant501",0,0,3,41,3,0,7,0,0,12,0,9,1,22,0,0,0,1,0,1,5,8,0,0,0,0,1,16,6,21,0,6,1,3,9,3,1,0,0,3,0,3,2,1,4,0,5,0,12,2,0,3,0,4,1,0,1,25,4,0,0,0,1,11,0,1,1,4
"Ant538",7,48,2,0,6,3,0,0,6,0,6,0,6,1,0,8,5,0,5,14,0,0,3,4,0,3,13,0,0,1,3,0,23,0,0,2,0,2,1,0,4,3,17,31,6,8,0,11,0,2,6,0,1,2,10,0,5,0,2,7,10,16,1,0,1,0,8,0
"Ant560",0,6,11,0,3,0,11,0,0,7,14,0,3,0,0,4,1,4,0,15,1,0,0,5,2,0,12,0,9,7,0,5,29,2,0,2,0,1,0,0,16,2,8,10,26,27,0,6,1,7,10,0,2,29,5,0,8,0,7,1,11,2,2,0,1,8,0,0
"Ant564",0,0,0,13,1,0,4,0,0,2,0,27,0,26,26,0,0,2,0,0,4,8,0,0,2,0,0,36,0,7,0,1,1,15,15,0,18,0,0,21,0,0,0,0,0,0,6,0,10,2,0,4,1,3,1,14,0,0,1,0,0,0,5,7,4,0,0,0
