"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552"
"Ant191",12,3,9,12,0,0,19,0,2,3,0,3,0,1,3,7,1,7,4,10,6,3,3,0,0,33,7,14,0,6,0,2,7,0,0,2,4,2,2,1,1,0,1,4,18,18,1,1,14,13,0,1,1,1,2,0,6,0,1,0,0,0,2,1,1,0
"Ant196",0,19,1,0,9,2,4,4,9,0,3,0,1,4,5,16,10,9,2,2,2,13,1,1,0,0,2,15,4,10,0,1,3,0,0,7,8,2,18,3,2,3,20,0,14,4,5,2,0,4,0,16,14,3,0,16,2,0,12,0,1,7,21,0,2,0
"Ant202",0,1,4,1,17,0,2,1,7,5,0,1,0,3,7,6,8,0,2,2,2,9,1,2,38,3,9,2,6,2,0,60,3,2,1,6,1,51,9,43,6,3,3,5,4,2,0,12,2,3,0,5,3,38,0,3,0,34,24,1,7,24,2,6,10,13
"Ant209",14,0,0,0,1,4,11,1,8,1,1,4,3,0,1,3,2,22,12,8,26,2,1,1,0,1,7,2,0,13,0,0,0,0,0,2,0,0,4,2,4,1,15,2,9,29,2,0,0,2,3,2,3,1,0,2,4,0,0,0,0,1,8,0,3,0
"Ant268",4,5,4,1,7,2,1,3,15,7,3,5,7,1,0,9,5,15,5,0,3,15,8,7,4,1,8,18,2,1,6,11,0,9,0,8,8,11,12,14,13,7,8,8,6,3,0,2,0,7,3,17,14,3,0,10,2,5,2,4,9,9,8,3,5,11
"Ant308",8,7,6,5,4,1,29,4,9,3,7,16,6,3,9,0,2,7,5,3,33,0,6,17,0,2,6,21,5,16,1,11,11,0,0,2,12,5,12,0,4,3,7,0,3,2,9,2,5,6,1,2,3,4,6,5,0,0,10,0,0,0,5,0,3,0
"Ant620",0,2,0,1,43,6,2,14,3,2,1,10,8,2,5,2,0,5,3,3,3,16,3,1,3,0,14,4,10,2,2,8,1,0,0,7,5,10,8,8,39,2,13,0,4,3,2,10,0,1,1,6,18,4,0,11,0,0,32,0,8,8,8,1,10,5
"Ant13",4,12,1,0,5,3,3,4,3,1,7,9,0,22,15,7,5,0,3,0,5,10,5,12,0,0,9,18,2,4,1,1,6,0,0,8,13,1,0,2,3,0,9,3,14,3,3,0,0,22,0,2,5,0,0,5,1,0,0,0,0,1,9,0,15,1
"Ant27",14,3,11,1,1,0,1,0,9,4,4,2,2,12,5,5,3,3,0,14,12,2,5,0,0,49,2,5,4,7,3,2,0,0,0,4,0,0,1,0,1,0,3,0,13,3,17,0,8,10,0,11,2,2,0,0,11,0,0,0,0,1,3,1,7,0
"Ant29",3,2,7,10,6,0,3,0,0,0,10,2,2,8,0,3,3,0,14,0,8,1,0,2,0,45,0,4,0,10,0,0,2,0,0,0,1,0,1,2,0,0,1,0,0,7,24,0,9,3,0,0,2,0,9,0,2,0,0,0,0,0,0,0,1,0
"Ant32",4,0,0,2,2,1,22,0,1,0,6,2,2,26,3,33,3,5,12,8,0,4,3,6,0,34,0,4,0,7,0,2,1,0,0,1,6,0,0,2,1,0,4,0,3,12,15,0,4,4,0,0,6,0,16,0,24,0,0,0,0,0,0,0,0,0
"Ant42",10,5,0,0,15,3,5,4,1,1,3,13,9,2,15,0,16,10,2,1,4,0,4,0,10,0,5,6,29,6,3,6,0,0,0,9,1,13,3,6,4,3,4,1,3,3,2,1,1,13,1,3,20,8,0,7,1,0,18,0,1,8,15,0,17,5
"Ant43",1,1,4,1,12,10,2,11,3,17,3,1,1,1,8,6,3,5,5,0,3,4,0,2,2,0,14,8,5,4,6,0,5,0,0,1,12,1,14,3,3,0,7,1,5,2,2,0,0,1,0,17,1,4,0,7,1,2,1,0,0,3,4,0,12,0
"Ant50",0,9,0,2,3,10,2,1,9,5,0,1,2,1,7,17,1,12,0,2,6,0,2,0,9,4,5,5,3,3,8,16,4,9,0,0,10,8,0,11,0,1,5,11,1,0,0,18,0,2,8,7,6,4,4,12,6,21,7,6,4,16,7,1,10,6
"Ant55",1,0,0,1,23,33,0,3,1,18,0,0,38,0,4,0,3,0,0,0,0,10,2,9,0,0,3,0,5,1,15,148,0,22,39,5,3,44,1,23,2,21,1,41,2,0,0,48,0,0,14,8,4,74,0,3,0,180,18,51,32,63,4,29,13,43
"Ant91",0,7,5,20,10,0,0,0,0,1,33,0,3,1,1,2,0,0,49,45,34,0,0,4,0,0,0,11,1,2,2,0,5,0,0,0,0,0,0,4,0,1,0,0,15,12,117,0,57,7,0,0,0,0,59,0,31,0,0,0,0,0,1,0,2,0
"Ant97",1,5,0,3,28,5,6,12,6,16,7,2,9,7,8,6,14,9,2,0,0,5,14,5,3,0,0,16,1,10,0,0,0,0,0,3,6,13,6,3,12,0,6,2,7,3,0,6,1,6,7,11,8,6,0,2,4,2,0,0,0,15,4,0,5,0
"Ant100",11,7,15,6,5,4,9,3,5,1,14,15,2,2,18,21,4,18,5,4,4,6,8,5,0,11,16,0,30,17,5,0,3,0,0,6,17,4,9,5,2,0,4,7,10,23,4,3,2,17,0,5,14,7,5,2,7,3,3,0,5,1,13,0,3,0
"Ant113",3,2,0,0,10,4,2,0,1,3,0,4,6,0,2,5,10,2,4,0,0,29,5,3,5,1,1,30,0,5,5,10,0,0,0,1,5,0,8,5,0,0,0,0,6,1,0,12,0,2,0,5,6,9,0,2,0,0,5,0,2,3,4,1,8,0
"Ant117",8,7,28,1,4,1,9,0,5,1,6,10,2,13,1,16,2,4,7,10,7,6,4,3,1,2,10,17,5,0,0,2,6,0,0,3,8,25,5,6,2,0,7,0,22,34,20,0,23,5,0,3,7,2,4,0,7,1,0,0,0,1,7,0,3,0
"Ant137",3,3,0,0,16,16,0,1,2,5,0,0,0,0,6,1,2,1,3,0,0,3,6,8,15,2,0,5,5,0,0,14,0,10,7,1,4,33,2,6,4,10,5,5,0,0,0,28,0,0,6,8,5,12,0,0,0,19,23,12,19,16,1,15,11,5
"Ant139",0,3,2,0,16,24,0,8,0,17,2,1,60,0,11,11,8,1,2,0,2,6,0,16,148,0,0,0,10,2,14,0,4,30,27,5,4,33,2,40,0,29,3,33,0,0,0,53,0,2,14,5,4,59,0,4,0,125,23,24,22,68,0,27,23,21
"Ant142",9,20,0,5,5,0,0,0,1,0,7,3,3,0,0,11,1,6,0,2,1,0,5,4,0,5,0,3,0,6,0,4,0,0,0,0,15,0,0,0,0,0,6,0,4,5,9,0,1,5,0,2,24,3,0,0,2,0,3,0,1,0,0,0,2,0
"Ant149",0,0,0,0,7,13,0,0,0,1,0,0,2,0,9,0,0,0,0,0,0,0,0,9,22,0,0,0,0,0,10,30,0,0,0,0,0,26,0,8,0,0,0,8,0,0,0,17,0,0,10,18,0,25,0,2,0,37,8,14,16,7,0,5,5,4
"Ant156",0,0,0,0,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,7,27,0,0,0,0,0,8,0,1,0,2,0,3,0,0,0,0,0,0,0,2,0,15,0,0,0,72,18,0,0,21,0,0,1,1
"Ant159",2,1,0,0,8,4,2,5,19,1,2,7,6,2,8,2,7,8,4,0,1,9,1,0,5,0,3,6,1,3,1,5,0,0,0,0,1,7,10,4,14,10,14,0,7,1,1,2,0,19,0,8,1,8,0,7,0,0,3,0,1,5,10,0,6,0
"Ant169",1,29,0,5,2,2,5,0,2,2,4,8,1,0,8,12,5,13,0,1,6,1,12,10,3,0,6,17,5,8,4,4,15,0,0,1,0,5,3,2,1,0,7,0,15,4,1,0,0,6,0,4,5,2,1,4,3,0,2,0,0,0,4,0,5,0
"Ant173",0,0,1,0,23,21,1,10,1,18,2,2,51,0,11,5,10,1,0,0,0,13,1,8,44,0,13,4,0,25,33,33,0,26,8,7,5,0,6,7,19,23,4,26,2,0,0,21,0,2,9,13,5,56,0,4,0,64,4,41,36,32,1,4,17,11
"Ant195",0,1,2,0,15,7,1,15,3,10,2,18,9,4,12,12,8,0,1,1,0,3,14,0,1,0,6,9,8,5,2,2,0,0,0,10,3,6,0,6,25,0,12,1,9,2,1,3,1,1,2,14,5,7,0,7,0,1,0,0,2,3,8,0,6,0
"Ant198",0,5,0,0,23,3,2,3,0,7,1,3,43,2,14,0,8,2,0,2,2,6,3,11,23,4,3,5,5,6,6,40,0,8,1,4,2,7,6,0,4,1,5,8,3,1,2,9,1,4,2,9,11,18,0,4,0,39,6,12,9,7,2,2,10,6
"Ant207",0,0,2,0,27,9,2,34,1,1,1,2,6,4,13,4,39,3,1,0,1,4,3,0,2,0,12,2,0,2,4,0,0,0,0,14,1,19,25,4,0,0,3,4,5,0,0,0,0,5,3,1,1,6,0,1,0,1,9,0,0,14,9,0,17,0
"Ant217",1,1,0,0,7,4,1,0,0,13,0,3,3,1,7,3,2,0,0,0,0,3,0,1,21,1,0,0,0,0,10,29,0,0,2,10,0,23,0,1,0,0,1,2,0,4,1,9,2,0,2,2,11,4,0,1,0,31,3,6,0,1,1,3,0,2
"Ant218",3,1,4,1,9,0,20,2,50,9,1,20,3,15,8,7,13,9,3,1,4,4,7,5,1,0,6,4,0,7,5,3,6,0,0,14,7,4,12,5,3,1,0,4,19,8,2,2,1,8,0,7,34,4,1,18,2,3,11,0,1,0,13,0,9,0
"Ant219",0,1,2,0,9,9,0,1,0,9,4,0,5,2,8,0,0,3,0,0,0,1,1,11,41,0,2,7,0,0,5,33,0,8,3,0,0,26,1,8,4,2,4,0,0,3,0,7,0,1,1,22,6,16,0,8,0,31,2,12,4,24,2,3,8,28
"Ant242",4,3,0,10,5,2,7,2,36,3,18,14,4,9,6,3,4,14,13,0,3,3,5,1,2,15,7,10,6,22,0,0,4,0,0,7,15,2,9,3,5,0,19,0,0,3,4,0,1,14,0,4,7,4,7,2,12,0,1,0,2,0,5,2,3,0
"Ant243",0,7,2,5,1,0,7,0,10,3,18,4,2,29,3,2,3,3,3,7,12,3,2,0,0,12,3,23,1,34,0,0,5,0,0,1,4,0,2,1,0,4,8,3,3,0,2,3,9,4,0,0,1,0,5,4,3,0,3,0,0,0,1,0,1,0
"Ant255",31,9,2,9,4,0,0,0,2,0,1,5,0,2,0,9,2,3,17,24,15,2,2,0,0,117,0,4,0,20,0,0,9,0,0,1,1,0,1,2,0,1,2,0,4,2,0,0,15,6,0,0,0,0,30,0,0,0,1,0,0,1,0,0,0,0
"Ant257",0,2,0,0,20,3,0,2,0,6,1,2,12,0,2,2,10,0,0,0,0,1,0,18,48,0,6,3,12,0,28,53,0,17,0,2,0,21,3,9,0,9,2,7,0,3,0,0,0,0,8,10,3,27,0,7,0,81,18,8,19,15,2,2,9,17
"Ant263",3,0,7,2,5,0,3,0,1,0,14,0,2,0,0,5,0,0,8,9,4,1,0,0,0,57,1,2,0,23,0,0,1,0,0,0,0,0,1,1,0,2,1,0,1,9,15,0,0,2,0,0,0,0,8,0,3,0,2,0,3,0,1,0,0,0
"Ant294",6,3,2,3,7,0,28,0,13,1,13,4,3,2,7,6,1,22,10,3,4,13,1,2,0,7,6,17,2,5,0,2,5,0,0,19,6,2,1,4,5,0,8,1,14,4,6,0,2,0,0,0,4,1,2,1,2,0,0,0,0,2,11,4,4,0
"Ant318",0,1,0,0,5,9,0,1,0,12,0,0,0,3,3,1,1,0,0,0,0,1,0,8,14,0,7,0,0,0,6,14,0,10,0,0,0,9,2,2,3,2,0,1,0,0,0,8,0,0,0,7,0,5,0,0,2,3,0,16,14,5,1,0,4,2
"Ant332",0,12,0,0,10,11,7,2,1,9,1,16,5,2,17,2,6,2,11,0,0,3,17,7,8,0,11,5,5,3,8,5,2,18,2,8,4,13,14,9,1,2,7,22,4,0,0,10,0,0,7,0,8,8,0,0,2,6,15,8,6,9,6,0,14,3
"Ant342",0,6,11,0,24,2,6,0,2,21,1,14,3,3,14,3,18,5,2,2,6,20,1,6,4,0,8,14,6,7,5,4,24,0,0,1,5,5,5,11,1,11,34,6,7,1,0,3,0,4,0,8,0,21,0,7,2,2,11,0,2,5,3,1,3,4
"Ant347",0,8,0,0,25,11,0,9,1,17,1,3,38,1,3,4,4,0,2,0,0,8,4,4,74,0,6,7,9,2,12,59,3,25,15,8,2,56,7,18,6,4,4,16,4,0,0,27,0,1,5,8,21,0,0,4,0,71,35,11,11,19,2,7,16,14
"Ant353",2,1,0,3,0,0,2,0,0,0,2,0,0,0,0,6,0,0,0,9,16,0,0,4,0,59,0,5,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,5,30,0,8,2,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0
"Ant356",0,9,1,0,10,12,4,4,5,4,0,16,3,2,10,5,11,5,0,0,0,7,7,12,3,0,2,2,2,0,0,4,0,2,0,7,4,4,7,4,1,1,18,8,2,4,0,7,0,1,0,0,7,4,2,0,0,2,9,2,3,3,4,1,4,5
"Ant387",4,0,4,3,1,2,6,0,1,0,6,2,0,4,2,0,0,1,11,2,24,1,1,6,0,31,4,7,0,7,0,0,2,0,0,0,3,0,0,0,0,0,2,0,12,3,0,0,3,2,2,2,2,0,5,0,0,1,0,0,1,0,1,0,0,0
"Ant390",0,0,0,0,18,9,0,0,1,27,0,0,34,0,5,0,0,0,0,0,0,0,2,21,180,0,2,3,0,1,19,125,0,37,72,0,0,64,1,39,1,31,3,31,0,0,0,81,0,0,3,6,2,71,0,2,1,0,14,43,27,63,0,26,8,40
"Ant394",0,0,0,0,33,0,1,3,0,8,1,12,24,0,2,10,32,0,0,0,0,18,1,7,18,0,0,3,5,0,23,23,3,8,18,3,2,4,0,6,9,3,11,2,1,3,1,18,2,0,0,15,11,35,0,9,0,14,0,3,4,31,14,2,9,23
"Ant395",0,0,0,0,11,8,0,0,0,7,0,0,1,0,4,0,0,0,0,0,0,0,0,6,51,0,0,0,0,0,12,24,0,14,0,0,0,41,0,12,0,6,0,12,0,0,0,8,0,0,16,8,0,11,0,2,0,43,3,0,1,6,0,7,15,11
"Ant437",0,0,0,0,19,7,1,3,0,22,0,1,7,0,9,0,8,0,0,0,0,1,0,4,32,0,0,5,2,0,19,22,1,16,0,1,0,36,2,9,0,0,1,4,2,0,0,19,3,0,14,6,2,11,0,3,1,27,4,1,0,6,1,2,4,12
"Ant475",0,3,0,0,22,2,0,6,2,13,0,7,24,1,9,0,8,1,1,0,0,8,3,16,63,0,15,1,3,1,16,68,0,7,21,5,0,32,3,7,14,1,0,24,0,0,1,15,0,2,5,9,5,19,0,3,0,63,31,6,6,0,4,6,11,6
"Ant492",1,5,1,0,4,7,2,7,18,2,2,21,2,8,8,5,8,9,3,0,0,15,4,7,4,1,4,13,4,7,1,0,0,0,0,10,4,1,8,2,9,1,13,2,5,1,0,2,1,11,1,6,3,2,0,4,1,0,14,0,1,4,0,0,11,0
"Ant501",0,0,0,0,15,6,0,0,0,2,1,0,6,0,3,0,1,0,1,0,0,0,0,1,29,0,0,0,1,0,15,27,0,5,0,0,0,4,0,2,0,3,0,3,2,0,0,2,0,4,0,0,1,7,0,1,0,26,2,7,2,6,0,0,0,0
"Ant527",1,3,2,0,14,7,7,19,44,23,1,2,10,3,5,3,10,15,7,1,0,17,12,10,13,2,5,3,8,3,11,23,2,5,1,6,5,17,6,10,17,0,9,8,3,1,0,9,0,4,4,14,3,16,0,4,0,8,9,15,4,11,11,0,0,11
"Ant552",0,0,0,0,10,11,0,0,0,1,0,0,13,0,11,0,5,1,0,0,0,5,0,6,43,0,0,0,0,0,5,21,0,4,1,0,0,11,0,6,0,2,0,28,0,0,0,17,0,0,2,3,4,14,0,5,0,40,23,11,12,6,0,0,11,0
