"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552"
"Ant196",1,12,6,1,0,9,20,4,5,12,2,0,0,2,26,16,3,11,2,0,1,10,15,11,0,0,10,12,0,5,9,2,1,10,0,17,5,0,9,3,12,1,15,0,8,2,0,3,7,13,7,18,8,5,0,16,4,1,0,5,9,0,11,0,7,10
"Ant202",0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,8,33,0,0,0,0,0,36,0,6,0,11,0,3,0,0,0,24,0,0,0,0,1,15,0,0,0,30,42,0,0,21,0,23,0,0
"Ant209",6,18,0,4,0,4,2,1,1,0,28,2,0,0,5,6,0,7,7,8,4,7,13,3,0,41,1,11,4,4,3,1,0,1,0,0,8,4,19,2,0,5,3,0,9,0,6,0,0,3,1,0,1,1,2,9,1,1,0,1,0,1,0,0,8,0
"Ant268",0,2,4,0,3,7,11,12,33,11,0,26,0,5,0,11,11,6,2,0,0,10,3,2,2,1,4,3,3,6,13,0,0,9,0,14,3,0,11,6,22,1,11,0,5,0,1,3,6,5,4,10,6,1,1,13,3,5,0,9,45,1,32,0,28,1
"Ant308",11,7,5,2,2,2,5,4,14,2,1,16,0,6,11,0,0,29,1,0,8,1,3,11,1,4,6,10,9,17,6,2,0,3,0,6,39,1,21,1,0,0,24,0,16,1,11,0,2,20,0,4,11,0,2,8,2,0,0,1,10,1,29,0,21,2
"Ant620",0,0,0,0,1,1,2,11,1,2,0,3,0,0,11,0,0,1,0,0,0,0,4,3,1,0,19,0,0,7,15,1,0,10,0,3,0,0,1,2,29,0,3,5,0,1,0,8,0,0,8,15,5,1,0,1,2,5,0,10,15,3,9,0,8,0
"Ant13",2,3,5,6,2,4,3,0,0,16,0,11,0,7,6,29,1,0,15,10,3,11,4,10,0,5,1,10,2,25,6,0,12,1,1,22,15,0,7,1,2,0,11,0,18,6,8,0,11,8,0,7,4,1,2,11,21,1,0,0,3,7,11,0,12,4
"Ant27",5,0,5,6,3,3,4,0,1,0,1,2,0,7,2,1,0,15,0,6,3,3,3,3,1,11,0,7,3,0,2,0,6,0,0,6,3,3,4,0,0,0,1,0,1,5,0,0,17,3,2,1,5,1,2,1,0,1,1,0,2,2,0,0,11,1
"Ant29",5,3,0,2,0,3,2,0,2,1,10,0,0,8,0,0,0,10,6,0,2,11,7,0,0,17,0,6,0,2,5,0,10,2,0,3,2,0,6,0,0,0,4,0,1,4,5,0,10,6,0,0,2,2,10,2,11,0,0,0,3,0,0,0,4,0
"Ant32",0,10,0,1,0,0,6,2,1,3,19,1,0,4,0,8,0,3,3,2,0,0,15,7,0,4,0,15,6,0,0,0,2,0,0,2,0,1,0,0,0,0,3,1,4,0,3,0,3,3,0,0,1,0,1,4,18,0,0,0,3,2,0,0,4,0
"Ant42",2,8,2,2,5,23,7,1,0,26,0,10,0,7,10,1,0,11,3,11,0,0,10,11,13,0,2,1,10,6,30,1,7,3,0,9,6,10,3,4,8,1,17,1,3,2,0,11,3,2,8,6,9,11,1,13,0,7,0,0,29,2,1,0,12,11
"Ant43",1,3,1,6,0,9,4,5,2,12,1,15,0,13,3,3,4,4,3,7,15,10,0,17,0,6,0,28,4,4,9,1,4,0,0,5,15,2,7,1,2,0,0,0,1,12,3,1,11,0,1,4,6,0,1,2,10,0,0,6,9,4,3,0,4,5
"Ant50",1,7,6,4,6,5,3,13,8,18,8,11,0,3,2,11,3,10,3,0,7,11,17,0,4,20,7,23,11,9,0,0,12,4,0,10,14,17,21,2,1,1,12,0,34,12,9,0,2,16,3,7,0,2,1,3,7,6,0,2,7,3,14,0,14,4
"Ant55",0,16,3,0,6,2,0,1,6,3,0,0,106,0,2,1,1,0,1,0,0,13,0,4,0,0,2,0,6,1,20,37,2,15,1,0,0,47,0,30,2,38,4,34,0,0,0,17,1,0,0,2,3,22,0,4,0,27,56,1,0,14,0,5,3,17
"Ant91",25,0,19,17,1,0,29,0,2,0,76,0,0,41,1,4,0,5,11,17,4,0,6,20,0,0,0,0,0,0,0,0,1,0,0,9,4,0,0,0,0,0,0,0,13,0,47,0,52,21,0,0,0,0,17,11,16,0,0,0,0,0,0,0,7,0
"Ant97",0,0,0,0,13,6,1,10,3,15,1,10,0,1,4,6,19,1,0,0,0,2,0,7,2,0,0,11,5,0,25,9,2,10,2,2,1,2,8,6,14,0,5,0,0,1,0,8,0,2,13,11,14,4,0,7,0,1,0,42,18,1,9,0,16,0
"Ant100",1,11,11,8,6,13,3,5,5,19,5,12,0,11,3,10,0,10,7,6,15,1,28,23,0,0,11,0,0,2,18,5,2,8,0,10,2,0,7,2,0,0,11,2,9,2,3,0,2,6,8,5,5,0,5,14,1,2,1,11,7,8,5,0,16,12
"Ant113",4,14,0,0,10,1,9,0,2,1,0,0,0,4,3,9,0,2,3,0,6,10,4,11,6,0,5,0,0,9,6,1,7,9,0,7,24,8,0,8,0,1,1,0,2,2,0,2,2,2,2,0,3,10,0,0,2,6,0,0,9,9,0,0,17,14
"Ant117",9,0,12,3,1,6,7,0,14,10,0,5,0,4,6,17,7,25,0,2,0,6,4,9,1,0,0,2,9,0,18,4,10,3,0,21,28,8,3,1,2,4,21,1,7,6,3,0,7,13,2,6,6,2,2,15,4,0,0,3,6,1,4,0,14,5
"Ant137",2,2,0,0,16,21,5,8,6,18,1,9,8,3,13,6,15,6,2,5,0,30,9,0,20,0,25,18,6,18,0,10,20,10,0,14,8,8,16,9,28,17,17,6,5,2,0,7,6,2,11,23,23,22,4,12,2,26,2,22,29,17,7,2,37,30
"Ant139",0,0,2,0,14,5,0,2,0,1,0,2,33,1,0,2,1,0,0,0,0,1,1,0,37,0,9,5,1,4,10,0,15,3,0,2,0,27,0,15,0,26,3,14,2,0,0,29,0,0,1,0,6,27,0,1,0,37,23,3,8,15,1,7,1,8
"Ant142",2,1,4,1,0,6,1,1,26,1,3,1,0,0,0,0,0,12,6,10,2,7,4,12,2,1,2,2,7,10,20,15,0,1,0,7,2,3,3,5,0,5,8,0,8,1,0,5,8,8,2,0,8,13,3,6,16,9,0,1,11,11,0,0,5,12
"Ant149",0,5,0,1,7,12,4,2,6,11,2,10,0,1,9,3,10,1,0,2,0,3,0,4,15,0,10,8,9,3,10,3,1,0,2,4,3,3,8,16,7,7,8,4,0,1,0,1,1,4,3,19,8,10,0,6,1,4,8,17,14,11,6,0,10,21
"Ant156",0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,1,3,1,8,0,6,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,1,3
"Ant159",10,0,33,6,5,9,2,2,2,3,3,17,0,0,14,6,3,22,6,3,2,9,5,10,0,9,2,10,7,21,14,2,7,4,0,0,8,1,8,6,5,0,9,2,2,2,5,0,23,5,1,5,2,0,4,10,3,2,0,4,12,3,9,0,7,19
"Ant169",1,5,15,0,8,7,2,0,0,4,0,5,0,8,3,39,0,15,3,2,0,6,15,14,0,4,1,2,24,28,8,0,2,3,1,8,0,3,9,4,0,0,14,0,2,5,1,1,19,7,0,2,6,1,0,32,10,0,0,0,10,7,1,0,11,9
"Ant173",0,20,4,0,28,4,1,0,7,8,0,0,36,4,0,1,0,0,3,0,1,10,2,17,47,0,2,0,8,8,8,27,3,3,3,1,3,0,0,21,0,60,3,9,3,1,0,44,0,1,2,1,2,19,0,1,0,36,16,0,10,33,0,2,0,27
"Ant195",10,0,1,0,1,14,3,8,14,5,7,9,0,19,11,21,1,7,4,6,0,3,7,21,0,0,8,7,0,3,16,0,3,8,1,8,9,0,0,4,9,0,22,5,2,0,1,0,5,7,12,14,2,2,2,5,2,2,5,8,11,8,2,0,13,4
"Ant198",0,4,2,1,11,8,0,2,1,3,0,3,6,2,6,1,2,1,0,0,0,4,1,2,30,0,6,2,8,1,9,15,5,16,8,6,4,21,4,0,3,5,6,4,7,1,0,5,5,0,2,6,0,23,0,2,0,41,18,3,5,22,1,13,2,15
"Ant207",0,0,4,0,7,6,1,15,11,5,0,12,0,0,22,0,29,2,0,0,0,8,2,1,2,0,14,0,0,2,28,0,0,7,0,5,0,0,9,3,0,0,8,0,0,0,0,0,0,0,7,18,7,4,0,4,0,5,2,6,8,1,4,0,9,0
"Ant217",1,3,1,0,10,0,0,0,0,0,0,1,11,5,1,0,0,0,0,0,0,1,0,1,38,0,0,0,1,4,17,26,5,7,6,0,0,60,0,5,0,0,2,3,1,0,0,18,0,0,0,0,0,16,0,0,0,49,18,3,6,9,0,3,0,14
"Ant218",0,4,8,5,4,1,28,5,15,21,0,15,0,3,11,24,3,11,1,4,3,17,0,12,4,0,5,11,1,21,17,3,8,8,0,9,14,3,22,6,8,2,0,5,16,2,2,5,5,7,10,11,7,5,2,10,1,0,0,8,20,1,33,0,10,1
"Ant219",0,4,1,0,14,3,1,2,0,3,0,0,3,0,0,0,5,0,0,0,1,1,0,0,34,0,0,2,0,1,6,14,0,4,0,2,0,9,5,4,0,3,5,0,0,0,0,5,1,0,0,5,8,7,0,0,0,5,36,0,1,2,2,3,0,6
"Ant242",0,7,21,7,1,0,7,0,10,0,15,8,0,9,5,16,0,18,1,1,4,3,1,34,0,13,0,9,2,7,5,2,8,0,0,2,2,3,2,7,0,1,16,0,0,2,9,0,3,19,0,0,4,2,18,1,3,1,2,1,3,2,2,0,4,2
"Ant243",3,0,4,1,0,5,19,2,2,3,8,2,0,0,0,1,1,6,5,4,0,2,12,12,0,0,1,2,2,6,2,0,1,1,0,2,5,1,0,1,0,0,2,0,2,0,15,0,5,1,2,8,0,0,1,5,7,0,0,3,6,0,0,0,8,1
"Ant255",1,5,1,43,0,0,5,0,0,0,34,0,0,6,1,11,0,8,0,5,3,0,3,9,0,47,0,3,0,3,0,0,0,0,0,5,1,0,1,0,0,0,2,0,9,15,0,0,2,0,0,0,0,0,10,2,0,0,0,0,1,0,0,0,1,0
"Ant257",0,0,0,0,10,2,1,4,0,1,0,3,24,0,3,0,8,0,0,0,0,11,1,0,17,0,8,0,2,0,7,29,5,1,1,0,1,44,0,5,0,18,5,5,0,0,0,0,0,0,0,5,0,12,0,0,0,32,33,3,5,2,0,0,0,1
"Ant263",42,0,9,4,1,10,8,2,7,9,2,7,0,0,6,2,0,11,17,10,3,3,11,2,1,52,0,2,2,7,6,0,8,1,0,23,19,0,5,5,0,0,5,1,3,5,2,0,0,9,4,0,0,0,0,3,0,0,0,1,6,2,2,0,7,2
"Ant294",9,0,1,0,1,8,11,1,16,0,15,13,0,3,5,20,0,8,3,6,3,2,0,16,0,21,2,6,2,13,2,0,8,4,0,5,7,1,7,0,0,0,7,0,19,1,0,0,9,0,4,6,9,2,4,13,5,0,0,2,18,0,2,0,12,8
"Ant318",0,3,0,0,5,17,0,2,5,11,2,7,0,1,4,0,8,0,2,0,0,8,1,3,0,0,13,8,2,2,11,1,2,3,0,1,0,2,12,2,7,0,10,0,0,2,0,0,4,4,0,15,13,1,0,4,0,3,0,4,5,1,2,0,11,5
"Ant332",0,1,4,1,1,0,4,4,5,10,0,18,0,0,10,4,15,7,1,0,0,6,4,7,2,0,11,5,0,6,23,0,0,19,0,5,2,1,14,6,18,0,11,5,0,8,0,5,0,6,15,0,1,3,0,7,0,2,0,18,21,1,6,0,6,1
"Ant342",3,0,0,1,15,29,4,4,0,3,2,8,1,1,6,11,5,4,5,2,1,9,6,0,3,0,14,5,3,6,23,6,8,8,2,2,6,2,2,0,7,0,7,8,4,0,0,0,0,9,13,1,0,11,0,16,8,6,1,11,15,1,4,0,15,28
"Ant347",0,0,0,0,5,8,0,0,1,6,0,5,15,1,1,0,1,1,1,2,0,11,0,2,22,0,4,0,10,2,22,27,13,10,0,0,1,19,2,23,4,16,5,7,2,0,0,12,0,2,1,3,11,0,0,2,0,49,27,5,15,12,0,1,4,14
"Ant353",0,3,3,3,1,0,4,0,3,0,3,0,0,2,1,2,0,2,2,10,1,1,1,1,0,17,0,5,0,2,4,0,3,0,0,4,0,0,2,0,0,0,2,0,18,1,10,0,0,4,0,0,0,0,0,2,0,0,0,1,2,0,2,0,1,0
"Ant356",5,1,3,1,4,1,3,7,62,9,6,16,0,9,13,8,1,11,1,2,4,13,2,3,4,11,7,14,0,15,12,1,6,6,0,10,32,1,5,2,4,0,10,0,1,5,2,0,3,13,4,7,16,2,2,0,5,1,4,14,34,14,23,0,11,7
"Ant387",4,0,0,5,0,1,21,5,6,5,14,4,0,1,3,2,2,21,0,11,18,0,10,7,0,16,0,1,2,4,2,0,16,1,0,3,10,0,2,0,0,0,1,0,3,7,0,0,0,5,0,0,8,0,0,5,0,0,0,0,5,1,3,0,4,1
"Ant390",1,0,1,0,31,4,0,1,0,0,0,1,30,1,5,0,5,1,1,0,0,7,0,6,27,0,1,2,6,0,26,37,9,4,0,2,0,36,2,41,5,49,0,5,1,0,0,32,0,0,3,2,6,49,0,1,0,0,66,1,10,29,0,11,4,19
"Ant394",0,0,0,0,21,0,0,0,4,0,0,0,42,0,0,0,0,0,1,0,0,0,0,0,56,0,0,1,0,0,2,23,0,8,2,0,0,16,5,18,2,18,0,36,2,0,0,33,0,0,0,0,1,27,0,4,0,66,0,0,9,19,0,9,0,0
"Ant395",0,7,1,0,7,15,3,6,0,22,1,5,0,1,9,1,10,0,0,0,0,0,6,2,1,0,42,11,0,3,22,3,1,17,0,4,0,0,8,3,6,3,8,0,1,3,0,3,1,2,4,18,11,5,1,14,0,1,0,0,26,10,5,0,10,0
"Ant437",6,3,4,3,3,26,2,9,16,14,1,9,0,0,45,10,15,3,2,3,3,29,9,7,0,0,18,7,9,6,29,8,11,14,0,12,10,10,11,5,8,6,20,1,3,6,1,5,6,18,5,21,15,15,2,34,5,10,9,26,0,3,13,0,16,23
"Ant475",0,2,0,0,14,17,0,4,0,2,2,0,21,1,1,1,3,7,2,0,2,2,4,3,14,0,1,8,9,1,17,15,11,11,1,3,7,33,8,22,1,9,1,2,2,0,0,2,2,0,1,1,1,12,0,14,1,29,19,10,3,0,0,3,7,3
"Ant492",2,0,0,0,1,5,16,4,9,2,0,11,0,0,32,29,9,11,0,0,0,1,3,14,0,0,9,5,0,4,7,1,0,6,0,9,1,0,2,1,4,0,33,2,2,0,0,0,2,2,2,6,4,0,2,23,3,0,0,5,13,0,0,0,5,0
"Ant501",0,0,0,0,4,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,7,0,0,0,0,0,2,0,13,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,11,9,0,0,3,0,0,0,0
"Ant527",5,0,8,4,12,8,11,12,37,17,8,7,0,8,28,21,8,12,11,4,4,12,4,14,3,7,16,16,17,14,37,1,5,10,1,7,11,0,13,2,9,0,10,0,4,8,1,0,7,12,11,6,15,4,1,11,4,4,0,10,16,7,5,0,0,4
"Ant552",0,10,2,0,11,20,1,1,2,0,0,10,0,0,1,2,0,4,1,0,0,11,5,4,17,0,0,12,14,5,30,8,12,21,3,19,9,27,4,15,0,14,1,6,2,1,0,1,2,8,5,1,28,14,0,7,1,19,0,0,23,3,0,0,4,0
