"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552"
"Ant191",1,0,4,17,0,0,1,1,0,5,0,2,0,13,7,17,0,1,6,9,3,0,2,0,0,36,0,1,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,16,10,0,0,0,0,1,0,1,2,7,4,4,0,0,0,0,0,0,2,0
"Ant196",4,5,8,10,6,10,2,0,4,5,2,0,1,1,2,5,0,4,1,0,0,12,14,6,10,9,3,8,3,3,7,4,9,2,0,5,5,0,2,2,1,0,12,0,7,2,3,0,12,13,1,10,12,1,4,6,0,3,6,0,8,0,8,0,15,0
"Ant202",2,1,1,0,25,4,0,5,0,8,0,1,0,1,2,0,11,1,1,1,1,10,3,1,10,0,19,1,4,1,2,26,9,25,0,9,0,30,6,5,25,5,5,7,1,0,1,1,4,6,2,3,13,15,0,2,0,34,42,2,9,8,1,4,10,3
"Ant209",15,11,0,7,0,0,9,0,0,7,13,1,1,0,2,14,0,1,14,2,3,2,1,0,0,9,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,9,14,7,0,1,0,0,0,0,2,6,4,18,1,0,0,0,0,1,0,7,0
"Ant268",0,2,2,2,4,2,3,0,60,1,7,2,2,2,0,10,3,23,6,0,0,1,7,1,6,1,14,11,4,0,2,4,1,6,0,11,5,0,25,2,8,0,16,0,4,4,0,0,0,5,0,21,4,2,3,34,0,0,0,0,2,1,7,0,8,1
"Ant308",7,1,1,4,9,0,7,8,6,4,17,5,0,14,10,0,0,8,1,0,4,2,12,2,2,18,2,25,0,0,5,1,4,0,0,10,5,0,9,0,5,0,13,0,12,5,3,3,16,12,0,3,5,7,2,2,5,0,1,0,5,2,8,0,17,0
"Ant620",0,1,0,0,0,0,0,8,1,0,0,0,11,0,3,0,0,2,1,0,0,0,0,2,1,0,9,0,1,0,0,10,0,0,0,3,0,0,1,3,44,0,1,0,3,6,0,0,0,2,0,13,3,5,0,5,0,0,0,0,2,1,3,0,17,0
"Ant13",5,3,4,3,1,0,1,1,10,4,1,4,1,1,23,8,2,0,2,0,5,1,2,6,5,2,5,10,1,2,1,7,7,2,0,8,9,0,6,1,5,0,5,0,7,7,5,0,2,7,1,9,2,1,7,17,1,1,0,0,0,2,12,0,12,0
"Ant27",22,0,4,6,1,4,14,0,1,12,6,1,1,14,6,1,1,2,0,3,4,5,3,1,0,77,3,27,3,3,1,0,5,0,0,3,1,0,9,0,0,0,2,0,7,1,20,0,1,5,0,1,14,1,1,5,11,0,0,0,1,0,8,0,9,1
"Ant29",6,6,8,35,1,0,0,0,0,9,9,0,1,2,0,0,0,0,3,0,9,2,0,0,0,29,0,0,6,15,1,0,3,1,0,0,0,0,0,1,0,0,11,0,0,1,6,0,0,3,0,1,2,0,1,4,1,0,0,0,0,0,0,0,0,0
"Ant32",36,4,6,5,1,2,2,1,3,15,3,0,1,3,0,4,0,5,4,9,0,0,0,0,1,43,0,3,0,1,1,2,1,1,0,6,7,0,0,0,0,0,0,0,4,3,31,0,1,8,0,0,1,0,9,6,0,0,8,0,0,0,3,0,6,0
"Ant42",9,0,2,0,7,6,4,0,2,29,0,12,10,2,1,2,0,1,5,2,0,0,11,2,6,0,7,6,0,13,11,13,4,1,0,3,11,4,11,0,5,0,5,0,3,3,1,0,11,22,0,4,28,9,1,5,1,4,0,0,6,2,9,0,2,1
"Ant43",0,3,16,6,4,0,1,2,4,4,2,14,3,1,7,12,0,2,3,0,0,11,0,2,6,2,20,5,1,7,8,2,4,0,0,8,5,0,9,0,6,0,18,0,1,3,2,1,2,9,0,18,10,6,1,11,5,0,2,0,7,1,0,1,15,1
"Ant50",2,8,2,0,3,10,0,1,1,7,0,6,1,0,1,2,2,6,1,0,0,2,2,0,7,4,3,1,11,2,10,24,6,11,3,6,5,25,0,13,1,4,2,11,4,1,1,19,1,0,9,3,7,21,0,3,0,26,28,14,24,14,4,2,5,11
"Ant55",1,4,1,0,4,14,2,1,1,3,0,10,10,0,6,2,1,5,0,0,1,6,6,7,0,0,3,2,7,0,10,19,7,10,6,1,0,21,2,17,12,8,6,8,3,0,0,5,4,3,10,2,15,18,0,10,0,18,8,8,10,16,6,5,14,8
"Ant91",12,0,8,1,0,0,4,0,0,15,36,9,0,9,1,18,0,2,77,29,43,0,2,4,0,0,0,26,0,10,5,0,2,0,0,4,4,0,0,0,0,0,0,0,14,2,106,0,1,6,0,0,7,0,6,0,7,0,0,0,7,2,1,0,19,0
"Ant97",0,0,0,0,5,1,0,6,0,4,0,3,19,0,14,2,9,5,3,0,0,7,20,3,3,0,0,5,9,3,3,15,9,9,0,6,8,2,11,0,13,0,8,0,1,2,1,11,0,0,3,16,7,2,1,8,1,1,0,0,0,0,2,0,18,3
"Ant100",10,29,7,5,5,9,16,3,3,5,1,8,1,0,11,25,0,10,27,0,3,6,5,1,2,26,5,0,3,6,8,9,7,3,0,2,17,0,8,1,3,0,10,0,14,2,5,0,6,11,0,12,20,2,2,19,5,0,2,0,4,1,13,0,15,0
"Ant113",0,11,0,0,0,15,1,0,0,0,0,3,4,0,4,0,1,1,3,6,0,0,1,11,7,0,9,3,0,0,7,3,1,17,0,0,0,19,2,6,5,3,13,9,0,0,0,18,0,6,0,5,3,18,0,2,2,9,0,2,16,6,4,1,4,4
"Ant117",11,10,8,4,3,0,5,0,0,37,4,3,1,0,0,0,0,2,3,15,1,13,7,2,0,10,3,6,0,0,0,3,1,0,0,3,9,0,3,0,3,0,3,0,1,5,3,0,8,13,0,4,1,0,0,7,3,1,4,0,1,3,1,0,1,3
"Ant137",2,8,3,3,20,22,1,1,0,6,3,7,2,0,2,5,0,1,1,1,1,11,8,10,10,5,3,8,7,0,0,16,7,12,0,2,0,6,9,21,9,1,1,2,4,5,1,13,5,10,11,2,16,7,2,0,0,4,19,7,5,3,22,0,13,15
"Ant139",0,11,3,2,35,31,1,6,6,13,0,4,26,1,4,1,10,7,0,0,2,13,2,24,19,0,15,9,3,3,16,0,7,21,15,19,1,69,20,19,11,13,8,36,2,1,4,36,0,4,39,12,23,22,0,16,0,45,36,27,23,47,10,13,5,13
"Ant142",10,2,8,7,3,4,0,0,5,11,0,9,9,1,1,4,0,7,5,3,1,4,4,6,7,2,9,7,1,1,7,7,0,0,0,2,8,5,0,2,0,0,10,0,10,1,1,0,1,7,0,3,6,3,3,10,0,2,1,0,12,5,3,0,9,0
"Ant149",0,2,0,3,2,18,1,1,0,2,0,2,25,0,6,0,0,2,0,1,1,1,0,11,10,0,9,3,17,0,12,21,0,0,1,0,5,28,6,26,3,3,0,10,0,2,0,25,0,1,7,0,6,11,0,3,0,14,9,22,5,8,1,10,1,11
"Ant156",0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,15,0,1,0,0,0,0,0,1,0,9,0,3,0,0,0,7,0,0,0,0,0,16,0,1,0,25,7,2,0,1,0,2,0,2
"Ant159",0,6,4,0,5,1,6,2,5,14,0,5,9,0,11,10,3,8,3,0,6,3,8,6,1,4,6,2,0,3,2,19,2,0,0,0,5,0,5,1,10,0,4,0,2,0,4,0,2,3,0,5,11,2,1,5,4,2,0,0,2,0,8,0,12,0
"Ant169",10,5,16,3,4,0,4,1,3,5,3,5,0,2,5,5,0,9,1,0,7,11,5,5,0,4,8,17,0,9,0,1,8,5,0,5,0,0,0,1,1,0,9,0,3,12,7,0,3,14,1,1,1,0,8,11,4,0,1,0,1,0,5,0,2,0
"Ant173",0,4,0,0,18,16,0,0,0,7,0,0,30,0,0,0,0,0,0,0,0,4,0,25,21,0,2,0,19,0,6,69,5,28,0,0,0,0,0,6,0,2,0,34,0,0,0,37,0,1,20,16,5,40,0,0,0,22,13,11,15,14,0,12,6,13
"Ant195",0,7,0,1,8,15,4,15,4,0,0,2,6,0,25,9,1,6,9,0,0,11,9,0,2,0,11,8,2,3,9,20,0,6,0,5,0,0,0,3,10,0,7,1,3,2,1,3,2,1,1,21,5,5,3,16,0,1,0,0,0,2,1,0,15,0
"Ant198",0,1,1,0,13,5,0,2,1,3,0,2,5,0,2,0,3,1,0,1,0,0,0,13,17,0,0,1,6,0,21,19,2,26,1,1,1,6,3,0,0,2,6,6,0,2,0,11,0,2,4,3,13,22,0,6,0,13,10,10,13,5,0,1,14,3
"Ant207",2,0,0,0,7,0,0,46,4,5,0,1,25,0,8,5,44,5,0,0,0,5,6,1,12,0,13,3,5,3,9,11,0,3,0,10,1,0,10,0,0,0,1,0,2,3,0,0,1,3,0,7,12,3,1,4,0,0,0,0,7,0,1,0,16,0
"Ant217",0,0,0,0,15,1,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,3,0,1,13,0,3,9,0,0,2,0,2,0,0,0,1,0,0,0,37,0,0,0,0,0,20,0,0,0,35,5,27,5,7,0,11,0,11
"Ant218",2,12,6,8,6,5,0,2,67,7,0,12,5,1,16,13,1,5,2,11,0,5,18,2,6,0,8,10,13,3,1,8,10,0,0,4,9,0,7,6,1,0,0,0,8,6,0,0,1,2,0,14,6,0,4,28,0,0,2,0,3,1,12,0,35,3
"Ant219",0,0,0,0,1,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,9,0,2,36,0,10,3,0,0,34,1,6,0,1,0,0,0,0,0,7,0,0,8,0,0,25,0,0,0,17,12,17,1,7,0,6,2,7
"Ant242",4,12,4,7,0,8,36,2,6,21,1,7,1,9,4,12,3,7,7,0,4,3,1,4,3,14,1,14,0,1,4,2,10,0,0,2,3,0,3,0,2,0,8,0,0,16,11,0,4,2,0,3,1,0,20,4,7,0,3,0,0,0,12,0,4,0
"Ant243",2,3,8,0,4,2,11,1,3,7,16,2,0,14,4,5,6,7,1,1,3,3,3,1,0,2,2,2,0,5,5,1,1,2,0,0,12,0,2,2,3,0,6,0,16,0,5,0,11,0,0,11,3,0,0,10,8,0,0,0,1,4,5,0,6,0
"Ant255",10,3,2,24,2,0,3,0,2,11,10,3,1,7,0,3,0,5,20,6,31,1,2,1,0,106,1,5,0,3,1,4,1,0,0,4,7,0,1,0,0,0,0,0,11,5,0,0,1,8,0,0,2,1,4,0,7,0,0,0,0,0,1,0,7,0
"Ant257",0,0,0,0,13,13,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,19,5,0,11,0,18,0,13,36,0,25,7,0,0,37,3,11,0,37,0,7,0,0,0,0,0,0,20,0,0,38,0,0,1,29,23,24,3,6,0,14,8,16
"Ant263",9,13,1,2,1,3,3,0,0,10,0,12,4,1,0,16,0,2,1,0,1,11,2,1,4,1,0,6,0,8,5,0,1,0,0,2,3,0,2,0,1,0,1,0,4,11,1,0,0,5,0,0,3,0,2,2,4,0,0,0,0,0,4,0,5,1
"Ant294",12,11,7,11,4,10,0,1,25,8,0,13,6,0,5,12,2,7,5,3,8,22,9,0,3,6,0,11,6,13,10,4,7,1,0,3,14,1,1,2,3,0,2,0,2,0,8,0,5,0,0,0,13,7,1,19,0,3,2,0,1,0,6,0,1,4
"Ant318",0,0,0,0,5,9,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,9,10,0,3,0,0,0,11,39,0,7,0,0,1,20,1,4,0,0,0,8,0,0,0,20,0,0,0,0,0,3,0,0,0,13,9,16,7,5,0,2,3,11
"Ant332",0,8,9,4,2,13,1,4,1,5,1,10,3,0,21,3,13,9,1,1,0,4,18,3,2,0,16,12,5,4,2,12,3,0,0,5,1,16,21,3,7,0,14,0,3,11,0,0,0,0,0,0,6,1,0,12,4,0,0,0,2,2,1,0,17,6
"Ant342",3,7,7,0,22,11,1,7,2,23,0,12,13,0,4,5,3,2,14,2,1,28,10,7,15,7,7,20,3,1,16,23,6,6,0,11,1,5,5,13,12,0,6,0,1,3,2,0,3,13,0,6,0,15,0,8,2,2,6,0,4,1,3,0,37,16
"Ant347",2,1,0,0,17,21,0,12,2,2,1,1,15,2,2,7,5,1,1,0,0,9,6,21,18,0,2,2,18,0,7,22,3,11,16,2,0,40,5,22,3,20,0,25,0,0,1,38,0,7,3,1,15,0,0,6,0,21,44,28,18,8,2,7,3,8
"Ant353",6,5,0,12,2,0,7,1,10,23,2,4,0,6,3,2,0,7,1,1,9,1,1,0,0,6,1,2,0,0,2,0,3,0,0,1,8,0,3,0,1,0,4,0,20,0,4,0,2,1,0,0,0,0,0,4,5,0,0,0,2,0,6,0,8,0
"Ant356",5,10,4,10,9,4,3,8,75,11,7,6,2,4,34,2,5,17,5,4,6,5,11,3,10,0,8,19,2,7,0,16,10,3,1,5,11,0,16,6,4,0,28,0,4,10,0,0,2,19,0,12,8,6,4,0,0,0,2,0,6,1,10,0,33,0
"Ant387",22,6,4,4,2,0,12,0,1,3,4,0,0,18,0,5,0,1,11,1,0,1,5,0,0,7,1,5,2,3,0,0,0,0,0,4,4,0,0,0,0,0,0,0,7,8,7,1,4,0,0,4,2,0,5,0,0,1,0,0,0,0,0,0,5,0
"Ant390",0,0,0,0,23,8,0,0,0,7,4,3,34,1,0,0,0,1,0,0,0,4,0,26,18,0,1,0,9,1,4,45,2,14,25,2,0,22,1,13,0,35,0,17,0,0,0,29,0,3,13,0,2,21,0,0,1,0,22,20,17,19,0,10,1,17
"Ant394",0,1,0,0,28,6,0,0,0,9,0,6,42,0,0,1,0,0,0,0,8,0,2,28,8,0,0,2,0,4,19,36,1,9,7,0,1,13,0,10,0,5,2,12,3,0,0,23,0,2,9,0,6,44,0,2,0,22,0,4,20,21,2,2,7,7
"Ant395",0,0,0,0,3,14,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,14,8,0,0,0,2,0,7,27,0,22,2,0,0,11,0,10,0,27,0,17,0,0,0,24,0,0,16,0,0,28,0,0,0,20,4,0,10,14,0,2,5,13
"Ant437",0,0,1,0,20,12,0,3,3,9,0,8,9,0,2,5,2,0,1,0,0,6,7,24,10,7,0,4,16,1,5,23,12,5,0,2,1,15,0,13,7,5,3,1,0,1,0,3,0,1,7,2,4,18,2,6,0,17,20,10,0,17,4,1,17,6
"Ant475",0,0,0,0,15,14,0,1,0,6,0,0,8,0,1,2,1,2,0,0,0,2,1,14,16,2,0,1,6,3,3,47,5,8,1,0,0,14,2,5,0,7,1,7,0,4,0,6,0,0,5,2,1,8,0,1,0,19,21,14,17,0,0,0,14,4
"Ant492",4,1,0,15,9,3,3,0,9,3,0,8,1,1,7,8,3,12,8,0,3,9,0,4,6,1,2,13,4,1,22,10,3,1,0,8,5,0,1,0,1,0,12,0,12,5,1,0,4,6,0,1,3,2,6,10,0,0,2,0,4,0,0,0,8,0
"Ant501",0,0,0,0,16,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,1,0,0,13,0,10,2,0,0,12,0,1,0,11,0,6,0,0,0,14,0,0,2,0,0,7,0,0,0,10,2,2,1,0,0,0,2,3
"Ant527",20,14,6,13,14,8,7,10,18,13,2,15,10,7,8,17,17,12,9,0,6,2,15,5,14,19,18,15,4,1,13,5,9,1,0,12,2,6,15,14,16,0,35,2,4,6,7,8,5,1,3,17,37,3,8,33,5,1,7,5,17,14,8,2,0,4
"Ant552",3,3,1,0,8,8,0,0,0,7,0,0,3,0,1,0,0,0,1,0,0,1,1,11,8,0,3,0,4,3,15,13,0,11,2,0,0,13,0,3,0,11,3,7,0,0,0,16,1,4,11,6,16,8,0,0,0,17,7,13,6,4,0,3,4,0
