"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552"
"Ant169",13,39,1,3,2,0,14,0,7,8,4,10,1,8,8,16,0,6,2,1,9,6,4,4,0,0,2,19,4,4,2,10,12,0,1,5,0,0,7,3,0,0,2,0,24,3,10,17,7,12,0,4,7,3,0,6,0,4,7,0,2,0,2,0,2,0
"Ant173",0,2,0,0,28,37,0,0,0,20,0,0,32,2,1,0,0,0,0,0,0,5,1,14,71,0,0,2,4,12,27,91,0,24,5,0,0,0,0,23,0,24,0,16,0,0,0,34,0,0,9,9,3,38,0,3,0,140,26,37,10,20,5,8,18,18
"Ant195",0,3,0,3,7,1,8,12,4,12,2,24,9,4,20,10,3,17,7,7,2,10,7,9,3,0,14,2,3,5,1,9,0,0,1,11,7,0,0,3,11,4,9,3,11,12,3,1,5,11,1,13,7,4,0,8,2,4,7,0,7,7,19,0,7,1
"Ant198",0,1,1,0,8,1,0,1,0,13,1,0,0,0,0,0,1,1,0,0,1,8,21,5,3,0,11,1,1,0,6,35,0,11,3,3,3,23,3,0,7,8,0,6,0,0,1,19,0,0,2,4,1,18,0,0,0,19,20,10,4,16,1,21,6,17
"Ant207",0,5,0,0,5,0,0,38,3,0,0,3,5,0,2,9,21,2,1,0,1,2,7,4,1,0,11,1,5,0,1,14,0,0,3,2,0,0,11,7,0,22,3,0,5,3,1,0,0,2,6,26,0,2,0,14,0,0,0,0,6,3,5,0,10,0
"Ant217",0,0,0,0,29,8,0,11,0,10,0,0,11,0,4,0,3,1,0,0,2,0,0,5,17,0,3,0,0,0,3,43,0,1,4,1,0,24,4,8,22,0,1,21,0,0,0,6,0,0,4,10,1,9,0,2,0,18,17,2,3,8,1,4,0,2
"Ant218",1,6,2,1,8,6,15,2,48,12,20,16,8,4,10,4,1,6,3,9,10,4,4,9,1,0,12,3,3,9,2,2,1,0,0,21,2,0,9,0,3,1,0,1,19,18,8,3,2,17,0,17,25,6,0,18,2,5,5,0,1,4,19,0,2,1
"Ant219",0,11,0,0,11,6,0,0,0,16,0,3,8,0,1,0,0,0,0,0,0,1,0,3,28,0,0,7,1,1,5,55,1,6,0,1,0,16,3,6,0,21,1,0,0,0,0,6,0,0,5,1,5,19,0,2,0,33,15,5,2,8,0,5,6,6
"Ant242",6,19,4,8,2,2,27,3,37,3,28,8,1,25,19,10,4,19,3,6,12,5,9,2,2,19,8,15,2,2,0,7,10,0,2,4,24,0,11,0,5,0,19,0,0,6,4,0,4,17,0,9,5,0,2,24,5,0,1,0,5,1,14,0,2,0
"Ant243",3,0,6,7,0,2,3,1,17,1,13,3,4,2,4,6,1,1,4,2,13,4,14,10,1,12,8,4,0,0,0,1,5,0,0,1,3,0,12,0,3,0,18,0,6,0,17,0,0,3,0,5,5,3,1,5,5,0,2,0,0,3,4,0,0,2
"Ant255",4,0,10,10,2,3,3,0,9,3,9,14,0,8,6,9,0,5,4,18,13,4,4,8,1,45,4,5,13,11,5,1,1,0,0,0,10,0,3,1,1,0,8,0,4,17,0,3,8,4,0,3,3,0,2,6,2,0,1,0,1,4,8,0,0,0
"Ant257",0,8,4,0,48,21,11,0,3,4,2,0,25,0,1,0,0,2,0,0,0,0,0,7,15,0,3,0,12,10,25,45,0,8,2,2,17,34,1,19,0,6,3,6,0,0,3,0,0,0,3,9,10,17,0,2,8,15,19,8,9,11,0,6,12,20
"Ant263",1,1,0,0,3,0,8,0,7,4,11,1,0,1,8,2,0,2,3,15,5,3,2,1,1,21,2,8,4,0,0,0,2,0,0,2,7,0,5,0,0,0,2,0,4,0,8,0,0,5,0,8,1,0,1,0,2,0,2,0,0,0,1,0,1,0
"Ant294",6,7,6,14,0,0,8,1,21,2,2,11,1,6,16,5,6,32,11,1,20,9,8,14,1,1,9,30,1,1,1,2,18,0,4,25,12,0,11,0,2,0,17,0,17,3,4,0,5,0,3,11,7,0,1,12,1,0,1,0,1,3,11,0,8,0
"Ant318",0,0,0,0,6,6,0,0,0,6,0,0,0,0,3,0,14,0,0,0,0,5,0,3,12,0,11,3,0,0,6,14,1,9,0,1,0,9,1,2,6,4,0,5,0,0,0,3,0,3,0,14,0,7,0,1,0,15,5,1,1,2,0,0,6,0
"Ant332",1,9,11,2,14,2,8,10,6,2,1,22,4,1,21,7,13,9,2,4,2,18,13,17,4,2,24,6,1,3,6,4,2,1,3,10,4,9,13,4,26,10,17,1,9,5,3,9,8,11,14,0,7,5,0,5,0,5,1,2,8,8,4,0,5,7
"Ant342",2,4,1,0,20,3,3,0,1,59,5,2,6,9,2,0,0,6,1,7,5,37,18,1,14,0,12,10,9,31,9,22,0,0,2,5,7,3,7,1,0,1,25,5,5,5,3,10,1,7,0,7,0,18,0,8,1,6,7,0,5,15,14,0,5,12
"Ant347",0,5,0,0,26,15,1,4,3,15,2,2,32,0,4,1,2,3,0,0,0,6,2,6,38,0,3,3,6,5,23,42,0,28,1,2,3,38,4,18,2,9,6,19,0,3,0,17,0,0,7,5,18,0,0,0,0,71,30,29,9,8,3,2,16,6
"Ant353",8,0,0,11,1,0,0,0,0,0,5,0,0,3,0,0,0,0,6,1,0,0,0,1,0,100,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,2,0,1,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
"Ant356",2,6,4,0,4,2,3,12,49,11,5,14,10,8,19,8,3,7,3,0,5,30,13,8,4,0,7,17,12,1,2,3,8,2,1,20,6,3,8,0,14,2,18,2,24,5,6,2,0,12,1,5,8,0,2,0,0,5,4,1,9,3,13,0,4,3
"Ant387",0,4,8,5,1,0,5,0,1,0,3,14,0,0,0,2,0,1,4,10,3,0,0,1,0,55,0,1,1,4,0,3,1,0,0,1,0,0,2,0,0,0,2,0,5,5,2,8,2,1,0,0,1,0,4,0,0,0,2,0,0,0,0,0,0,0
"Ant390",0,0,0,1,15,28,1,1,2,24,0,0,37,2,7,1,0,0,1,0,0,2,0,9,98,0,11,2,20,2,14,83,0,38,5,0,4,140,4,19,0,18,5,33,0,0,0,15,0,0,15,5,6,71,0,5,0,0,30,22,17,38,0,7,24,6
"Ant394",1,0,0,0,25,30,1,0,0,11,0,4,25,1,4,2,0,0,0,0,0,3,3,12,39,0,6,2,0,1,9,39,0,12,1,1,7,26,7,20,0,17,5,15,1,2,1,19,2,1,5,1,7,30,0,4,2,30,0,17,12,15,3,3,12,19
"Ant395",0,0,0,0,3,28,0,0,0,13,0,0,1,0,5,0,0,0,0,0,0,0,0,1,14,0,0,0,5,0,30,22,0,30,0,0,0,37,0,10,0,2,0,5,0,0,0,8,0,0,1,2,0,29,0,1,0,22,17,0,9,9,0,5,4,2
"Ant437",3,1,7,0,20,6,0,4,1,15,1,2,8,1,5,2,2,4,0,0,3,6,1,11,14,0,4,3,2,7,19,14,2,10,2,1,2,10,7,4,6,3,1,2,5,0,1,9,0,1,1,8,5,9,0,9,0,17,12,9,0,12,14,0,7,3
"Ant475",0,2,0,0,46,20,2,2,1,12,3,1,8,1,4,0,6,3,0,1,1,15,3,3,5,1,17,1,7,5,1,12,0,8,2,1,0,20,7,16,3,8,4,8,1,3,4,11,0,3,2,8,15,8,0,3,0,38,15,9,12,0,1,2,20,7
"Ant492",1,1,3,2,1,1,5,1,33,16,16,7,1,10,12,7,1,2,2,1,2,7,17,10,2,0,7,10,3,1,2,11,0,0,0,9,2,5,19,1,5,1,19,0,14,4,8,0,1,11,0,4,14,3,0,13,0,0,3,0,14,1,0,0,1,1
"Ant501",0,0,0,0,4,3,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,15,0,8,0,0,0,8,0,21,0,4,0,5,0,0,0,6,0,0,0,0,0,2,0,0,0,7,3,5,0,2,0,0,3,4
"Ant527",1,6,1,0,14,9,4,9,1,8,0,4,11,0,10,4,5,4,1,0,0,0,4,11,9,0,3,6,3,2,1,16,0,24,1,4,2,18,7,6,10,0,2,6,2,0,0,12,1,8,6,5,5,16,0,4,0,24,12,4,7,20,1,3,0,9
"Ant552",2,0,0,0,29,16,4,1,2,3,0,0,16,0,0,0,4,0,1,0,1,7,1,9,15,0,2,3,8,7,1,11,0,13,0,0,0,18,1,17,0,2,1,6,0,2,0,20,0,0,0,7,12,6,0,3,0,6,19,2,3,7,1,4,9,0
